+----------------------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+
|              Metric              |          P1          |           P2          |           P3          |           P4          |           P5           |           P6           |           P7          |          P8          |           P9           |          P10           |          P11          |          P12          |          P13          |          P14          |          P15          |          P16           |
|        Casual Confidence         |  0.4181818181818182  |   0.4094734570565386  |    0.39967562557924   |   0.3885135135135135  |  0.17267267267267267   |   0.3021771771771771   |  0.37561241154055525  | 0.42256396298312465  |   0.3392330383480826   |  0.25442477876106195   |   0.5073529411764706  |   0.5073529411764706  |   0.1711309523809524  |   0.5043859649122807  |   0.5043859649122807  |   0.3362573099415205   |
|          Casual Support          |  0.5362318840579711  |   0.5333333333333333  |   0.5304347826086957  |   0.527536231884058   |   0.6840579710144927   |   0.5159420289855072   |   0.5246376811594203  |  0.5304347826086956  |   0.5159420289855072   |   0.6956521739130435   |   0.5246376811594202  |   0.5246376811594202  |   0.7855072463768116  |   0.5188405797101449  |   0.5188405797101449  |   0.5130434782608696   |
|         Certainty Factor         |  0.6079545454545455  |   0.5799512987012987  |    0.54763986013986   |   0.5099431818181818  |  0.041666666666666616  |   0.1832386363636362   |  0.46539256198347106  |  0.6435950413223139  |   0.346590909090909    |        0.28125         |          1.0          |          1.0          |  0.16058394160583947  |          1.0          |          1.0          |   0.346590909090909    |
|            Conviction            |  2.550724637681159   |   2.3806763285024153  |   2.210628019323672   |   2.0405797101449274  |   1.0434782608695652   |   1.2243478260869565   |   1.8705314009661835  |  2.8057971014492753  |   1.5304347826086957   |   1.391304347826087    |          inf          |          inf          |   1.191304347826087   |          inf          |          inf          |   1.5304347826086957   |
|        Coverage (Support)        | 0.043478260869565216 |  0.04057971014492753  |  0.03768115942028986  |  0.034782608695652174 |  0.034782608695652174  |  0.034782608695652174  |  0.03188405797101449  | 0.03188405797101449  |  0.017391304347826087  |  0.017391304347826087  |  0.014492753623188406 |  0.014492753623188406 |  0.02608695652173913  |  0.008695652173913044 |  0.008695652173913044 |  0.008695652173913044  |
| Descriptive Confirmed Confidence |  0.6000000000000001  |   0.5714285714285714  |   0.5384615384615384  |          0.5          |  -0.3333333333333333   |  0.16666666666666657   |  0.45454545454545453  |  0.6363636363636362  |   0.3333333333333333   |          0.0           |          1.0          |          1.0          |  -0.33333333333333337 |          1.0          |          1.0          |   0.3333333333333333   |
|    Difference of Proportions     |  0.3242424242424243  |   0.308372895986189   |  0.29031510658016674  |   0.2695195195195195  |  0.03003003003003002   |  0.09684684684684675   |  0.24523679912901475  | 0.33913990201415345  |  0.17994100294985244   |   0.1991150442477876   |   0.5176470588235293  |   0.5176470588235293  |   0.130952380952381   |   0.5146198830409356  |   0.5146198830409356  |  0.17836257309941517   |
|   Example and Counter Example    |         0.75         |   0.7272727272727273  |          0.7          |   0.6666666666666666  |          -1.0          |  0.28571428571428564   |         0.625         |  0.7777777777777778  |          0.5           |          0.0           |          1.0          |          1.0          |          -1.0         |          1.0          |          1.0          |          0.5           |
|         Imbalance Ratio          |  0.8953488372093024  |   0.9011627906976745  |   0.9069767441860466  |   0.9127906976744186  |   0.8230088495575223   |   0.9022988505747126   |   0.9186046511627907  |  0.9239766081871343  |   0.9532163742690057   |   0.9166666666666665   |   0.970414201183432   |   0.970414201183432   |   0.8051948051948051  |   0.9822485207100592  |   0.9822485207100592  |   0.9764705882352943   |
|  Fisher's Exact Test (p-value)   | 0.012795778042851924 |  0.02186193367381306  |  0.03669116667126593  |  0.06036090395566174  |   0.5224136327578044   |   0.357636632377479    |  0.09707840014682856  | 0.026190286113015215 |  0.32344428584640594   |  0.26246881216107343   |  0.027355984375069142 |  0.027355984375069142 |   0.2758180690858827  |  0.11647716720661982  |  0.11647716720661982  |   0.4847403066383278   |
|         Hyper Confidence         |  0.9872042219571481  |   0.9781380663261869  |   0.9633088333287341  |   0.9396390960443383  |   0.4775863672421956   |   0.642363367622521    |   0.9029215998531714  |  0.9738097138869848  |   0.6765557141535941   |   0.7375311878389266   |   0.9726440156249309  |   0.9726440156249309  |   0.7241819309141173  |   0.8835228327933802  |   0.8835228327933802  |   0.5152596933616722   |
|            Hyper Lift            |         1.2          |          1.1          |   1.1111111111111112  |          1.0          |   0.6666666666666666   |   0.7777777777777778   |          1.0          |        1.125         |          0.8           |          0.75          |          1.25         |          1.25         |          0.75         |          1.0          |          1.0          |   0.6666666666666666   |
