|  Outcome selected for analysis   |           1            |           1            |           1           |           1            |           1            |           1            |           1            |          1           |          1           |           1            |           1            |          1           |           1            |          1           |           1           |          1           |          1           |          1           |           1           |           1           |           1           |          1           |          1           |          1           |           1            |          1           |           1           |          1           |          1           |          1           |          1           |           1           |           1           |          1           |           1           |           1            |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1           |           1           |          1           |           1           |          1           |           1           |          1           |          1           |           1           |          1           |           1           |          1           |          1           |          1           |          1           |           1           |
|        Standardised Lift         |   0.8461538461538463   |   0.8333333333333334   |   0.7999999999999999  |  0.33333333333333337   |   0.7777777777777779   |   0.3333333333333333   |          1.0           |  0.9166666666666666  |  0.8181818181818183  |   0.6363636363636366   |   0.6363636363636364   |  0.8181818181818183  |   0.7272727272727275   |  0.818181818181818   |   0.6249999999999998  |  0.7999999999999998  |  0.7999999999999999  |  0.7999999999999999  |   0.7999999999999999  |          0.7          |          0.7          |         0.9          |  0.6666666666666669  |  0.8888888888888891  |   0.3333333333333333   |  0.7777777777777777  |   0.6666666666666669  |  0.8888888888888887  |  0.7777777777777779  |  0.7777777777777777  |  0.8888888888888887  |  0.22222222222222224  |   0.5555555555555557  |  0.8888888888888887  |   0.6666666666666665  |  0.44444444444444436   |   0.5714285714285714   |   0.8750000000000001   |   0.8750000000000001   |         0.875         |          0.75         |          0.25          |   0.8571428571428573   |   0.7142857142857143  |   0.7142857142857143  |  0.7999999999999999  |  0.33333333333333337  |  0.7777777777777779  |          1.0          |  0.7500000000000001  |  0.7500000000000001  |   0.6249999999999999  |  0.6249999999999996  |   0.7142857142857143  |         1.0          |  0.8571428571428572  |  0.8571428571428573  |  1.0000000000000002  |   0.2857142857142857  |
|       Collective Strength        |   1.5855686695278972   |   1.5991016638198265   |   1.416179775280899   |   1.1183574879227052   |   1.3594622019279556   |   1.220596672403901    |   1.6842279655400927   |  1.714050737015246   |  1.4726704841228528  |   1.2332118688183238   |   1.1934106976123784   |  1.4726704841228528  |   1.2774281805745555   |  1.438842203548086   |   0.9602947196070404  |  1.4451391059706158  |  1.416179775280899   |  1.416179775280899   |   1.3191058330422631  |   1.2965650080256819  |   1.2965650080256819  |  1.5357945425361155  |  1.3233170277195434  |  1.5429769392033543  |   1.220596672403901    |  1.3025889967637538  |   1.2398528665651953  |  1.5228687739463602  |  1.3594622019279556  |  1.409961685823755   |  1.5228687739463602  |   1.130426467775865   |   1.1202435312024352  |  1.5228687739463602  |   0.9721421709894331  |   1.1911068044788973   |   1.0691958322201442   |   1.4220856587445914   |   1.4220856587445914   |   1.4771727329866868  |    1.27752932788904   |   1.0223563369194437   |   1.364697120158888    |   1.2447864945382328  |   1.1982367085225756  |  1.416179775280899   |   1.1183574879227052  |  1.3594622019279556  |   1.6842279655400927  |  1.3023766225622375  |  1.3023766225622375  |    1.05427027027027   |  0.8807930187240531  |   1.0435571687840293  |  1.5202558635394456  |  1.4118505218269555  |  1.3971713424530487  |  1.5404493196920153  |   1.0778032036613272  |
|              Cosine              |   0.5855400437691198   |   0.5765566601970551   |  0.49543369430686224  |   0.2637521893583148   |   0.4618802153517006   |  0.29019050004400465   |   0.6324555320336759   |  0.628970902033151   |  0.5270462766947299  |  0.42163702135578396   |   0.4147806778921701   |  0.5270462766947299  |   0.4592793267718459   |  0.5184758473652127  |  0.39129279043561477  |  0.5039032598602688  | 0.49543369430686224  | 0.49543369430686224  |   0.4723774929733302  |  0.44038550605054416  |  0.44038550605054416  |  0.5504818825631802  | 0.42600643361512924  |  0.5477225575051662  |  0.29019050004400465   |  0.4472135954999579  |  0.40414518843273806  |  0.5378528742004771  |  0.4618802153517006  |  0.4780914437337574  |  0.5378528742004771  |   0.2176428750330035  |  0.34641016151377546  |  0.5378528742004771  |   0.3639126714370255  |   0.3227486121839514   |         0.3125         |  0.48686449556014766   |  0.48686449556014766   |   0.5132002392796673  |   0.4190790380624748  |   0.2041241452319315   |   0.451848057057532    |   0.3872983346207417  |         0.375         | 0.49543369430686224  |   0.2637521893583148  |  0.4618802153517006  |   0.6324555320336759  | 0.42600643361512924  | 0.42600643361512924  |   0.3429971702850177  | 0.32444284226152503  |   0.3487429162314578  |  0.5443310539518174  | 0.47628967220784024  |  0.4677071733467427  |  0.565685424949238   |   0.2211629342323457  |
|         Interestingness          |  0.34091277342695103   |  0.33068951369991073   |  0.24441055164117545  |  0.06943371414481794   |  0.21252678008821677   |  0.08405133817530594   |  0.39810964083175804   |  0.3933608924157128  |  0.2764650283553875  |  0.17710565007351395   |  0.17139256458727156   |  0.2764650283553875  |  0.21004031781663515   | 0.26754680163424593  |  0.15253118188149525  |  0.2528385016977678  | 0.24441055164117545  | 0.24441055164117545  |  0.22219141058288683  |  0.19320616371656066  |  0.19320616371656066  |  0.3015982127513318  | 0.18088111741230836  |  0.2987240075614367  |  0.08405133817530594   | 0.19924385633270322  |  0.16279300567107755  | 0.28805529300567106  | 0.21252678008821677  | 0.22770726438023223  | 0.28805529300567106  |  0.047301263555865086 |  0.11965973534971643  | 0.28805529300567106  |   0.1319943289224953  |   0.1039205261499685   |  0.09742549326559546   |  0.23614086676468526   |  0.23614086676468526   |   0.2623787408496503  |   0.1750462426570726  |   0.0416075929426591   |   0.2034912570888469   |  0.14957466918714554  |  0.14022625236294894  | 0.24441055164117545  |  0.06943371414481794  | 0.21252678008821677  |  0.39810964083175804  | 0.18088111741230836  | 0.18088111741230836  |  0.11731346602913377  |  0.1049646801313302  |  0.12127675880038827  |  0.2951760834558566  | 0.22610139676538543  |  0.2180263468809074  | 0.31879017013232513  |  0.048843696063121556 |
|        Comprehensibility         |   0.3562071871080222   |   0.3868528072345416   |   0.3868528072345416  |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |         0.5          |         0.5          |          0.5           |          0.5           |         0.5          |          0.5           |         0.5          |          0.5          |         0.5          |         0.5          |         0.5          |          0.5          |          0.5          |          0.5          |         0.5          |         0.5          |         0.5          |          0.5           |         0.5          |          0.5          |         0.5          |         0.5          |         0.5          |         0.5          |          0.5          |          0.5          |         0.5          |          0.5          |          0.5           |   0.3562071871080222   |   0.3868528072345416   |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |         0.5          |          0.5          |         0.5          |          0.5          |         0.5          |         0.5          |          0.5          |         0.5          |          0.5          |         0.5          |         0.5          |         0.5          |         0.5          |          0.5          |
|           Completeness           |  0.39999999999999997   |  0.39285714285714285   |          0.3          |  0.17391304347826086   |  0.26666666666666666   |  0.21052631578947367   |          0.4           | 0.42857142857142855  |  0.3333333333333333  |  0.26666666666666666   |  0.25806451612903225   |  0.3333333333333333  |        0.28125         |  0.3225806451612903  |  0.21052631578947367  |  0.3103448275862069  |         0.3          |         0.3          |  0.27272727272727276  |  0.26666666666666666  |  0.26666666666666666  |  0.3333333333333333  | 0.25925925925925924  |  0.3333333333333333  |  0.21052631578947367   |         0.25         |  0.23333333333333334  |  0.3214285714285714  | 0.26666666666666666  |  0.2857142857142857  |  0.3214285714285714  |  0.15789473684210525  |  0.19999999999999998  |  0.3214285714285714  |   0.1891891891891892  |  0.20833333333333334   |        0.15625         |  0.26666666666666666   |  0.26666666666666666   |   0.2962962962962963  |  0.22580645161290325  |         0.125          |  0.23333333333333334   |  0.19999999999999998  |         0.1875        |         0.3          |  0.17391304347826086  | 0.26666666666666666  |          0.4          | 0.23333333333333334  | 0.23333333333333334  |  0.17647058823529413  | 0.15789473684210525  |  0.16216216216216214  |  0.2962962962962963  | 0.25925925925925924  |         0.25         |         0.32         |  0.13043478260869565  |
|           Added Value            |  0.20496894409937882   |  0.23745819397993317   |  0.16600790513833996  |  -0.09999999999999998  |  0.14782608695652177   | -0.013043478260869545  |   0.4565217391304348   | 0.31438127090301005  |  0.1811594202898551  |  0.01449275362318836   | -0.007246376811594235  |  0.1811594202898551  |  0.05434782608695654   |  0.1594202898550725  |  -0.09881422924901195 | 0.18774703557312256  | 0.16600790513833996  | 0.16600790513833996  |  0.10079051383399218  |  0.07509881422924891  |  0.07509881422924891  |  0.2569169960474308  | 0.11304347826086958  | 0.31304347826086953  | -0.013043478260869545  | 0.10434782608695659  |  0.047826086956521796 | 0.29130434782608694  | 0.14782608695652177  | 0.19130434782608696  | 0.29130434782608694  |  -0.11304347826086958 |  -0.05217391304347829 | 0.29130434782608694  |  -0.10434782608695647 | -0.021739130434782594  |  -0.07065217391304346  |  0.23671497584541057   |  0.23671497584541057   |  0.30193236714975835  |  0.10386473429951693  |  -0.18840579710144928  |  0.22282608695652184   |  0.09782608695652173  |  0.05434782608695654  | 0.16600790513833996  |  -0.09999999999999998 | 0.14782608695652177  |   0.4565217391304348  | 0.12560386473429952  | 0.12560386473429952  |  -0.07246376811594202 | -0.1594202898550725  |  -0.05434782608695654 |  0.4130434782608695  |  0.2880434782608696  | 0.26630434782608703  |  0.4565217391304348  |         -0.125        |
|        Casual Confidence         |   0.6160714285714286   |   0.5897435897435898   |   0.5376623376623377  |  0.25555555555555554   |   0.5111111111111111   |  0.25555555555555554   |   0.6388888888888888   |  0.6433566433566433  |  0.5637254901960784  |   0.4509803921568627   |   0.4509803921568627   |  0.5637254901960784  |   0.5073529411764706   |  0.5637254901960784  |  0.47792207792207786  |  0.5376623376623377  |  0.5376623376623377  |  0.5376623376623377  |   0.5376623376623377  |  0.47792207792207786  |  0.47792207792207786  |  0.5974025974025974  | 0.44722222222222224  |        0.575         |  0.25555555555555554   |  0.5111111111111111  |  0.44722222222222224  |        0.575         |  0.5111111111111111  |  0.5111111111111111  |        0.575         |  0.19166666666666665  |   0.3833333333333333  |        0.575         |  0.44722222222222224  |   0.3194444444444444   |   0.3782894736842105   |   0.5525525525525525   |   0.5525525525525525   |   0.5525525525525525  |  0.48348348348348347  |   0.2072072072072072   |   0.5296052631578948   |  0.45394736842105265  |  0.45394736842105265  |  0.5376623376623377  |  0.25555555555555554  |  0.5111111111111111  |   0.6388888888888888  | 0.48348348348348347  | 0.48348348348348347  |   0.4144144144144144  |  0.4144144144144144  |  0.45394736842105265  |  0.6052631578947368  |  0.5296052631578948  |  0.5296052631578948  |  0.6052631578947368  |  0.22697368421052633  |
|          Casual Support          |   0.5652173913043479   |   0.5869565217391304   |          0.5          |  0.45652173913043476   |   0.4782608695652174   |   0.5434782608695652   |   0.6739130434782609   |  0.6304347826086956  |  0.5217391304347826  |  0.43478260869565216   |  0.41304347826086957   |  0.5217391304347826  |   0.4347826086956522   |         0.5          |   0.2826086956521739  |  0.5217391304347826  |         0.5          |         0.5          |   0.4347826086956522  |  0.45652173913043476  |  0.45652173913043476  |  0.5434782608695652  |         0.5          |  0.5869565217391305  |   0.5434782608695652   | 0.43478260869565216  |  0.43478260869565216  |  0.5652173913043478  |  0.4782608695652174  |  0.5217391304347826  |  0.5652173913043478  |          0.5          |   0.3913043478260869  |  0.5652173913043478  |  0.28260869565217395  |  0.47826086956521735   |  0.34782608695652173   |          0.5           |          0.5           |   0.5652173913043479  |  0.43478260869565216  |  0.41304347826086957   |   0.4782608695652174   |   0.4347826086956522  |   0.3913043478260869  |         0.5          |  0.45652173913043476  |  0.4782608695652174  |   0.6739130434782609  |  0.4565217391304348  |  0.4565217391304348  |  0.32608695652173914  |  0.2391304347826087  |  0.28260869565217395  |  0.5869565217391304  |  0.5434782608695652  |  0.5217391304347826  |  0.6304347826086956  |   0.4565217391304348  |
|         Certainty Factor         |   0.5892857142857142   |   0.606837606837607    |   0.4772727272727274  |  -0.19999999999999996  |   0.4250000000000001   | -0.022222222222222192  |          1.0           |  0.8034188034188036  |  0.5208333333333335  |  0.04166666666666653   |  -0.02222222222222232  |  0.5208333333333335  |  0.17857142857142863   |  0.488888888888889   |  -0.5681818181818188  |  0.5080213903743317  |  0.4772727272727274  |  0.4772727272727274  |   0.3566433566433569  |  0.21590909090909063  |  0.21590909090909063  |  0.7386363636363635  | 0.27368421052631586  |  0.7578947368421053  | -0.022222222222222192  |  0.342857142857143   |  0.13750000000000018  |  0.7444444444444445  |  0.4250000000000001  | 0.48888888888888893  |  0.7444444444444445  |  -0.19259259259259262 |  -0.1500000000000001  |  0.7444444444444445  |  -0.5333333333333331  |  -0.04545454545454542  |  -0.23214285714285707  |   0.6805555555555554   |   0.6805555555555554   |   0.7309941520467834  |   0.3185185185185186  |  -0.3939393939393939   |   0.6406250000000003   |        0.28125        |  0.17857142857142863  |  0.4772727272727274  |  -0.19999999999999996 |  0.4250000000000001  |          1.0          |  0.3611111111111111  |  0.3611111111111111  |  -0.2777777777777777  |  -0.916666666666667  |  -0.2777777777777779  |         1.0          |  0.6973684210526319  |  0.6805555555555558  |         1.0          |         -0.25         |
