|  Outcome selected for analysis   |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1           |           1            |           1           |           1            |           1           |           1            |          1           |           1           |           1           |           1           |          1           |           1           |           1           |           1           |           1           |           1           |          1           |           1           |           1           |           1           |          1           |          1           |           1           |          1           |           1           |          1           |           1           |           1           |           1           |          1           |           1           |           1           |           1           |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1            |           1           |           1            |           1            |           1           |           1           |           1           |           1           |           1           |           1           |           1           |           1            |           1           |          1           |           1           |           1           |           1           |           1            |          1           |           1           |           1           |           1            |          1           |           1            |           1           |          1           |           1           |           1           |           1            |           1            |           1           |           1           |           1            |           1           |           1           |           1           |          1           |          1           |           1           |          1           |           1           |           1           |           1           |           1           |
|        Standardised Lift         |          0.8           |   0.7499999999999998   |          1.0           |          1.0           |   0.6666666666666667   |  0.16666666666666666   |  0.33333333333333326   |  0.19999999999999998  |   0.6666666666666665   |   1.0000000000000002  |   0.6666666666666666   |   0.6666666666666669  |   0.6666666666666667   |  0.7500000000000002  |   0.7500000000000001  |   0.7499999999999998  |          0.75         |  1.0000000000000002  |   0.7499999999999998  |   0.6666666666666665  |   0.6666666666666666  |   0.6666666666666667  |   0.6666666666666666  |  1.0000000000000002  |   0.6666666666666667  |   0.6666666666666666  |   0.6666666666666667  |  1.0000000000000002  |         1.0          |   0.6666666666666665  |         1.0          |   0.6666666666666665  | 0.33333333333333326  |   0.6666666666666665  |   0.6666666666666666  |   0.6666666666666666  |         1.0          |   0.6666666666666666  |   0.6666666666666669  |   0.3333333333333334  |          0.8           |          1.0           |          1.0          |   0.7500000000000001  |   0.6666666666666667   |   0.5000000000000001   |   0.5000000000000001   |  0.49999999999999994  |          0.0          |   0.5000000000000001   |   0.5000000000000001   |   0.5000000000000001   |  0.49999999999999994   |          0.0           |  0.49999999999999983   |          0.0           |   0.5000000000000001   |  0.49999999999999983   |          1.0           |          1.0          |   0.5000000000000001   |  0.49999999999999983   |   0.7500000000000001  |  0.49999999999999994  |  0.49999999999999983  |  0.49999999999999994  |  0.49999999999999983  |          0.0          |          0.0          |          0.0           |   0.9999999999999997  |         1.0          |  0.49999999999999994  |          1.0          |          0.5          |   0.5000000000000001   |         1.0          |  0.49999999999999983  |          1.0          |   0.5000000000000001   |         1.0          |   0.5000000000000001   |  0.49999999999999983  |         1.0          |          0.0          |   0.4999999999999999  |   0.5000000000000001   |   0.5000000000000001   |  0.49999999999999983  |  0.49999999999999983  |   0.5000000000000001   |  0.49999999999999983  |          0.0          |  0.49999999999999994  |  0.9999999999999997  |         1.0          |   0.5000000000000001  |         1.0          |  0.49999999999999994  |  0.49999999999999994  |  0.49999999999999994  |  0.49999999999999983  |
|       Collective Strength        |   1.2822125813449026   |   0.9911407634255713   |   1.2841247764752628   |   1.2567478604344964   |   1.1865584455512512   |   1.0491338726632844   |   1.1685475850737235   |   1.0369565217391306  |   0.9463707813222374   |   1.2647657841140527  |   1.1374641422834193   |   0.9784126984126983  |   1.0054644808743167   |  1.188767173031532   |   1.2334636125265916  |   0.9911407634255713  |   1.118366710823658   |  1.324491647542296   |   0.9911407634255713  |   0.9463707813222374  |   1.1284271284271283  |   1.0054644808743167  |   1.1284271284271283  |  1.2647657841140527  |   1.153263954588458   |   1.1374641422834193  |   1.153263954588458   |  1.2647657841140527  |  1.2711157455683002  |   0.9463707813222374  |  1.2596446967307893  |   0.9463707813222374  |  0.7124364308830327  |   0.9463707813222374  |   1.1284271284271283  |   1.1284271284271283  |  1.2862175253192427  |   1.1284271284271283  |   0.9784126984126983  |   0.8079625292740046  |   1.2822125813449026   |   1.1948516082249963   |   1.211069655230454   |   1.2176976036718796  |   1.0054644808743167   |   1.0670173970227776   |   1.0670173970227776   |   0.9264493156782017  |   1.0202224469160768  |   1.0670173970227776   |   1.0670173970227776   |   1.0670173970227776   |   0.9264493156782017   |   0.7451000304661318   |   0.8943029408145684   |   0.7451000304661318   |   1.0670173970227776   |   0.8943029408145684   |   1.2095745002570537   |   1.1948516082249963  |   1.0670173970227776   |   0.8943029408145684   |   1.2176976036718796  |   0.9264493156782017  |   0.8943029408145684  |   0.9529806032294099  |   0.8943029408145684  |   1.0349858993746677  |   1.0349858993746677  |   0.9933554817275746   |   1.203261341651202   |  1.2012962256957682  |   0.9529806032294099  |   1.2012962256957682  |   0.9752498365555244  |   1.0670173970227776   |  1.2002022244691606  |   0.8943029408145684  |   1.211069655230454   |   1.0670173970227776   |  1.2012962256957682  |   1.0670173970227776   |   0.8943029408145684  |  1.204976522349983   |   0.9933554817275746  |   1.0822355938635009  |   1.0749985784954796   |   1.0670173970227776   |   0.8943029408145684  |   0.8943029408145684  |   1.0749985784954796   |   0.8943029408145684  |   0.9933554817275746  |   0.994207659721622   |  1.203261341651202   |  1.2012962256957682  |    1.08882788625887   |  1.2064865992282823  |   0.9264493156782017  |   0.9529806032294099  |   0.9264493156782017  |   0.8943029408145684  |
|              Cosine              |  0.39283710065919303   |   0.282842712474619    |   0.5547001962252291   |   0.3779644730092272   |   0.3450327796711771   |   0.1649572197684645   |   0.260132990857236    |   0.1702513061517497  |  0.23717082451262844   |          0.4          |   0.2785430072655778   |  0.24019223070763068  |   0.2433321316961438   |  0.3265986323710904  |  0.35777087639996635  |   0.282842712474619   |  0.30237157840738177  |  0.4303314829119352  |   0.282842712474619   |  0.23717082451262844  |  0.27386127875258304  |   0.2433321316961438  |  0.27386127875258304  |         0.4          |  0.28867513459481287  |   0.2785430072655778  |  0.28867513459481287  |         0.4          |  0.4264014327112209  |  0.23717082451262844  | 0.38490017945975047  |  0.23717082451262844  | 0.15811388300841894  |  0.23717082451262844  |  0.27386127875258304  |  0.27386127875258304  |  0.6030226891555273  |  0.27386127875258304  |  0.24019223070763068  |  0.16222142113076252  |  0.39283710065919303   |   0.3333333333333333   |   0.6123724356957946  |  0.34426518632954817  |   0.2433321316961438   |  0.21081851067789198   |  0.21081851067789198   |   0.1849000654084097  |   0.1203858530857692  |  0.21081851067789198   |  0.21081851067789198   |  0.21081851067789198   |   0.1849000654084097   |   0.0936585811581694   |  0.18257418583505539   |   0.0936585811581694   |  0.21081851067789198   |  0.18257418583505539   |   0.5222329678670935   |   0.3333333333333333  |  0.21081851067789198   |  0.18257418583505539   |  0.34426518632954817  |   0.1849000654084097  |  0.18257418583505539  |   0.1873171623163388  |  0.18257418583505539  |  0.12598815766974242  |  0.12598815766974242  |  0.11322770341445958   |   0.3872983346207417  |  0.3692744729379982  |   0.1873171623163388  |   0.3692744729379982  |  0.18983159915049977  |  0.21081851067789198   | 0.36115755925730764  |  0.18257418583505539  |   0.6123724356957946  |  0.21081851067789198   |  0.3692744729379982  |  0.21081851067789198   |  0.18257418583505539  |  0.408248290463863   |  0.11322770341445958  |  0.21821789023599236  |  0.21442250696755896   |  0.21081851067789198   |  0.18257418583505539  |  0.18257418583505539  |  0.21442250696755896   |  0.18257418583505539  |  0.11322770341445958  |  0.19245008972987523  |  0.3872983346207417  |  0.3692744729379982  |   0.2222222222222222  | 0.43301270189221935  |   0.1849000654084097  |   0.1873171623163388  |   0.1849000654084097  |  0.18257418583505539  |
|         Interestingness          |  0.15395633503699035   |  0.07984877126654066   |   0.307110658717464    |   0.142587091547394    |  0.11876631559996398   |  0.027185165181384464  |  0.06757323365123584   |  0.028958110736692143 |  0.05617025047258979   |   0.1596975425330813  |  0.07747620754839972   |   0.0576105133052203  |  0.05912657944483136   | 0.10646502835538753  |  0.12775803402646502  |  0.07984877126654066  |  0.09125573859033216  | 0.18474760204438842  |  0.07984877126654066  |  0.05617025047258979  |  0.07489366729678638  |  0.05912657944483136  |  0.07489366729678638  |  0.1596975425330813  |  0.08321518588531819  |  0.07747620754839972  |  0.08321518588531819  |  0.1596975425330813  | 0.18147448015122872  |  0.05617025047258979  |  0.1478680949380382  |  0.05617025047258979  | 0.024976370510396976 |  0.05617025047258979  |  0.07489366729678638  |  0.07489366729678638  | 0.36294896030245744  |  0.07489366729678638  |   0.0576105133052203  |  0.026290916326733655 |  0.15395633503699035   |  0.11095358118042427   |  0.37446833648393196  |  0.11829447595043058  |  0.05912657944483136   |  0.04440243646292795   |  0.04440243646292795   |  0.03415572035609842  |  0.014485904495767239 |  0.04440243646292795   |  0.04440243646292795   |  0.04440243646292795   |  0.03415572035609842   |  0.008767784300069645  |  0.033301827347195966  |  0.008767784300069645  |  0.04440243646292795   |  0.033301827347195966  |   0.2723406083519505   |  0.11095358118042427  |  0.04440243646292795   |  0.033301827347195966  |  0.11829447595043058  |  0.03415572035609842  |  0.033301827347195966 |  0.03505455510231154  |  0.033301827347195966 |  0.01586551444774507  |  0.01586551444774507  |  0.012814453977024865  |  0.14978733459357277  | 0.13617030417597525  |  0.03505455510231154  |  0.13617030417597525  |  0.03600197551048212  |  0.04440243646292795   | 0.13024985616832416  |  0.033301827347195966 |  0.37446833648393196  |  0.04440243646292795   | 0.13617030417597525  |  0.04440243646292795   |  0.033301827347195966 |  0.1664303717706364  |  0.012814453977024865 |  0.04757403906742281  |  0.04593355496164961   |  0.04440243646292795   |  0.033301827347195966 |  0.033301827347195966 |  0.04593355496164961   |  0.033301827347195966 |  0.012814453977024865 |  0.037002030385773294 | 0.14978733459357277  | 0.13617030417597525  |  0.049336040514364396 | 0.18723416824196598  |  0.03415572035609842  |  0.03505455510231154  |  0.03415572035609842  |  0.033301827347195966 |
|        Comprehensibility         |  0.30102999566398114   |   0.3562071871080222   |  0.33333333333333337   |   0.3562071871080222   |          0.5           |          0.5           |          0.5           |          0.5          |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306   |         0.5          |          0.5          |          0.5          |          0.5          |         0.5          |          0.5          |          0.5          |          0.5          |          0.5          |          0.5          |         0.5          |          0.5          |          0.5          |          0.5          |         0.5          |         0.5          |          0.5          |         0.5          |          0.5          |         0.5          |          0.5          |          0.5          |          0.5          |         0.5          |          0.5          |          0.5          |          0.5          |  0.30102999566398114   |   0.2890648263178878   |  0.30102999566398114  |   0.3868528072345416  |   0.3868528072345416   |   0.3562071871080222   |   0.3562071871080222   |   0.3868528072345416  |   0.3868528072345416  |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416   |   0.3868528072345416  |   0.3868528072345416   |   0.3868528072345416   |          0.5          |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306  | 0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   | 0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306  |          0.5           |         0.5          |          0.5           |          0.5          |         0.5          |          0.5          |          0.5          |          0.5           |          0.5           |          0.5          |          0.5          |          0.5           |          0.5          |          0.5          |          0.5          |         0.5          |         0.5          |          0.5          |         0.5          |          0.5          |          0.5          |          0.5          |          0.5          |
|           Completeness           |  0.18518518518518517   |          0.1           |   0.3076923076923077   |  0.14285714285714285   |  0.16666666666666666   |  0.09523809523809525   |  0.15789473684210525   |  0.08695652173913043  |         0.075          |          0.16         |  0.10344827586206896   |  0.07692307692307693  |  0.07894736842105263   | 0.13333333333333333  |          0.16         |          0.1          |  0.11428571428571428  | 0.18518518518518517  |          0.1          |         0.075         |  0.09999999999999999  |  0.07894736842105263  |  0.09999999999999999  |         0.16         |  0.11111111111111109  |  0.10344827586206896  |  0.11111111111111109  |         0.16         |  0.1818181818181818  |         0.075         | 0.14814814814814814  |         0.075         |         0.05         |         0.075         |  0.09999999999999999  |  0.09999999999999999  |  0.3636363636363636  |  0.09999999999999999  |  0.07692307692307693  |  0.05263157894736842  |  0.18518518518518517   |  0.11111111111111109   |         0.375         |  0.14814814814814814  |  0.07894736842105263   |  0.06666666666666667   |  0.06666666666666667   |  0.05128205128205128  |  0.043478260869565216 |  0.06666666666666667   |  0.06666666666666667   |  0.06666666666666667   |  0.05128205128205128   |  0.02631578947368421   |          0.05          |  0.02631578947368421   |  0.06666666666666667   |          0.05          |   0.2727272727272727   |  0.11111111111111109  |  0.06666666666666667   |          0.05          |  0.14814814814814814  |  0.05128205128205128  |          0.05         |  0.05263157894736842  |          0.05         |  0.04761904761904762  |  0.04761904761904762  |  0.038461538461538464  |          0.15         | 0.13636363636363635  |  0.05263157894736842  |  0.13636363636363635  |  0.05405405405405405  |  0.06666666666666667   | 0.13043478260869565  |          0.05         |         0.375         |  0.06666666666666667   | 0.13636363636363635  |  0.06666666666666667   |          0.05         | 0.16666666666666666  |  0.038461538461538464 |  0.07142857142857142  |  0.06896551724137931   |  0.06666666666666667   |          0.05         |          0.05         |  0.06896551724137931   |          0.05         |  0.038461538461538464 |  0.05555555555555555  |         0.15         | 0.13636363636363635  |  0.07407407407407407  |        0.1875        |  0.05128205128205128  |  0.05263157894736842  |  0.05128205128205128  |          0.05         |
|           Added Value            |  0.24637681159420288   |  -0.06956521739130428  |   0.7173913043478262   |   0.3913043478260869   |  0.06211180124223592   |  -0.17080745341614906  |  0.01552795031055898   |  -0.16666666666666669 |  -0.11956521739130432  |   0.4565217391304348  |  0.11956521739130432   |  -0.09782608695652173 |  -0.07608695652173914  | 0.14782608695652177  |  0.25652173913043486  |  -0.06956521739130428 |  0.03913043478260869  |  0.4130434782608695  |  -0.06956521739130428 |  -0.11956521739130432 |  0.09782608695652173  |  -0.07608695652173914 |  0.09782608695652173  |  0.4565217391304348  |   0.1630434782608695  |  0.11956521739130432  |   0.1630434782608695  |  0.4565217391304348  |  0.5217391304347826  |  -0.11956521739130432 |  0.4130434782608695  |  -0.11956521739130432 | -0.3695652173913043  |  -0.11956521739130432 |  0.09782608695652173  |  0.09782608695652173  |  0.7608695652173914  |  0.09782608695652173  |  -0.09782608695652173 |  -0.32608695652173914 |  0.24637681159420288   |   0.4130434782608695   |   0.8260869565217391  |  0.21304347826086956  |  -0.07608695652173914  |  0.01449275362318836   |  0.01449275362318836   |  -0.1811594202898551  |  -0.16666666666666669 |  0.01449275362318836   |  0.01449275362318836   |  0.01449275362318836   |  -0.1811594202898551   |  -0.4927536231884058   |  -0.2028985507246377   |  -0.4927536231884058   |  0.01449275362318836   |  -0.2028985507246377   |   0.7608695652173914   |   0.4130434782608695  |  0.01449275362318836   |  -0.2028985507246377   |  0.21304347826086956  |  -0.1811594202898551  |  -0.2028985507246377  |  -0.1594202898550725  |  -0.2028985507246377  |  -0.12318840579710144 |  -0.12318840579710144 |  -0.23188405797101447  |   0.5652173913043479  |  0.5217391304347826  |  -0.1594202898550725  |   0.5217391304347826  |  -0.1376811594202899  |  0.01449275362318836   |         0.5          |  -0.2028985507246377  |   0.8260869565217391  |  0.01449275362318836   |  0.5217391304347826  |  0.01449275362318836   |  -0.2028985507246377  |  0.6086956521739131  |  -0.23188405797101447 |  0.05797101449275355  |  0.03623188405797095   |  0.01449275362318836   |  -0.2028985507246377  |  -0.2028985507246377  |  0.03623188405797095   |  -0.2028985507246377  |  -0.23188405797101447 |  -0.11594202898550732 |  0.5652173913043479  |  0.5217391304347826  |  0.07971014492753614  |  0.6521739130434783  |  -0.1811594202898551  |  -0.1594202898550725  |  -0.1811594202898551  |  -0.2028985507246377  |
|        Casual Confidence         |   0.4791666666666667   |  0.44878048780487806   |   0.5476190476190477   |   0.5476190476190477   |   0.4212454212454212   |  0.16849816849816848   |  0.25274725274725274   |  0.19166666666666665  |   0.4107142857142857   |   0.5476190476190477  |   0.4107142857142857   |   0.4107142857142857  |   0.4107142857142857   | 0.44878048780487806  |  0.44878048780487806  |  0.44878048780487806  |  0.44878048780487806  |  0.5609756097560976  |  0.44878048780487806  |   0.4107142857142857  |   0.4107142857142857  |   0.4107142857142857  |   0.4107142857142857  |  0.5476190476190477  |   0.4107142857142857  |   0.4107142857142857  |   0.4107142857142857  |  0.5476190476190477  |  0.5476190476190477  |   0.4107142857142857  |  0.5476190476190477  |   0.4107142857142857  | 0.27380952380952384  |   0.4107142857142857  |   0.4107142857142857  |   0.4107142857142857  |  0.5476190476190477  |   0.4107142857142857  |   0.4107142857142857  |  0.27380952380952384  |   0.4791666666666667   |   0.5348837209302325   |   0.5348837209302325  |  0.44878048780487806  |   0.4107142857142857   |   0.3565891472868217   |   0.3565891472868217   |   0.3565891472868217  |  0.17829457364341084  |   0.3565891472868217   |   0.3565891472868217   |   0.3565891472868217   |   0.3565891472868217   |  0.17829457364341084   |   0.3565891472868217   |  0.17829457364341084   |   0.3565891472868217   |   0.3565891472868217   |   0.5348837209302325   |   0.5348837209302325  |   0.3565891472868217   |   0.3565891472868217   |  0.44878048780487806  |   0.3565891472868217  |   0.3565891472868217  |   0.3565891472868217  |   0.3565891472868217  |  0.17829457364341084  |  0.17829457364341084  |  0.17829457364341084   |   0.5348837209302325  |  0.5348837209302325  |   0.3565891472868217  |   0.5348837209302325  |   0.3565891472868217  |   0.3565891472868217   |  0.5348837209302325  |   0.3565891472868217  |   0.5348837209302325  |   0.3565891472868217   |  0.5348837209302325  |   0.3565891472868217   |   0.3565891472868217  |  0.5348837209302325  |  0.17829457364341084  |   0.3565891472868217  |   0.3565891472868217   |   0.3565891472868217   |   0.3565891472868217  |   0.3565891472868217  |   0.3565891472868217   |   0.3565891472868217  |  0.17829457364341084  |   0.3565891472868217  |  0.5348837209302325  |  0.5348837209302325  |   0.3565891472868217  |  0.5348837209302325  |   0.3565891472868217  |   0.3565891472868217  |   0.3565891472868217  |   0.3565891472868217  |
|          Casual Support          |          0.5           |  0.19565217391304346   |   0.8043478260869565   |   0.4782608695652174   |  0.41304347826086957   |   0.4782608695652174   |   0.5652173913043478   |   0.4565217391304348  |  0.17391304347826086   |   0.5434782608695652  |  0.41304347826086957   |  0.19565217391304346  |   0.2173913043478261   | 0.41304347826086957  |   0.5217391304347826  |  0.19565217391304346  |  0.30434782608695654  |  0.5217391304347826  |  0.19565217391304346  |  0.17391304347826086  |   0.391304347826087   |   0.2173913043478261  |   0.391304347826087   |  0.5434782608695652  |   0.4565217391304348  |  0.41304347826086957  |   0.4565217391304348  |  0.5434782608695652  |  0.6086956521739131  |  0.17391304347826086  |         0.5          |  0.17391304347826086  | 0.13043478260869565  |  0.17391304347826086  |   0.391304347826087   |   0.391304347826087   |  0.8478260869565217  |   0.391304347826087   |  0.19565217391304346  |  0.17391304347826086  |          0.5           |   0.4782608695652174   |   0.8913043478260869  |   0.4782608695652174  |   0.2173913043478261   |   0.3695652173913043   |   0.3695652173913043   |  0.17391304347826086  |  0.47826086956521735  |   0.3695652173913043   |   0.3695652173913043   |   0.3695652173913043   |  0.17391304347826086   |  0.15217391304347827   |  0.15217391304347827   |  0.15217391304347827   |   0.3695652173913043   |  0.15217391304347827   |   0.8260869565217391   |   0.4782608695652174  |   0.3695652173913043   |  0.15217391304347827   |   0.4782608695652174  |  0.17391304347826086  |  0.15217391304347827  |   0.1956521739130435  |  0.15217391304347827  |   0.5217391304347826  |   0.5217391304347826  |  0.41304347826086957   |   0.6304347826086956  |  0.5869565217391304  |   0.1956521739130435  |   0.5869565217391304  |  0.21739130434782608  |   0.3695652173913043   |  0.5652173913043478  |  0.15217391304347827  |   0.8913043478260869  |   0.3695652173913043   |  0.5869565217391304  |   0.3695652173913043   |  0.15217391304347827  |  0.6739130434782609  |  0.41304347826086957  |   0.4130434782608695  |   0.3913043478260869   |   0.3695652173913043   |  0.15217391304347827  |  0.15217391304347827  |   0.3913043478260869   |  0.15217391304347827  |  0.41304347826086957  |   0.2391304347826087  |  0.6304347826086956  |  0.5869565217391304  |   0.4347826086956522  |  0.717391304347826   |  0.17391304347826086  |   0.1956521739130435  |  0.17391304347826086  |  0.15217391304347827  |
|         Certainty Factor         |   0.5964912280701755   |  -0.5333333333333327   |          1.0           |          1.0           |  0.17857142857142827   |  -0.3142857142857143   |  0.026455026455026412  |  -0.33333333333333337 |  -0.9166666666666663   |          1.0          |  0.32352941176470584   |  -0.6428571428571428  |  -0.43750000000000006  |  0.4250000000000001  |   0.561904761904762   |  -0.5333333333333327  |  0.16363636363636366  |         1.0          |  -0.5333333333333327  |  -0.9166666666666663  |        0.28125        |  -0.43750000000000006 |        0.28125        |         1.0          |  0.39473684210526305  |  0.32352941176470584  |  0.39473684210526305  |         1.0          |         1.0          |  -0.9166666666666663  |         1.0          |  -0.9166666666666663  | -2.8333333333333326  |  -0.9166666666666663  |        0.28125        |        0.28125        |         1.0          |        0.28125        |  -0.6428571428571428  |         -1.875        |   0.5964912280701755   |          1.0           |          1.0          |   0.5157894736842106  |  -0.43750000000000006  |  0.04166666666666653   |  0.04166666666666653   |  -1.1904761904761907  |  -0.33333333333333337 |  0.04166666666666653   |  0.04166666666666653   |  0.04166666666666653   |  -1.1904761904761907   |  -2.8333333333333335   |  -1.5555555555555554   |  -2.8333333333333335   |  0.04166666666666653   |  -1.5555555555555554   |          1.0           |          1.0          |  0.04166666666666653   |  -1.5555555555555554   |   0.5157894736842106  |  -1.1904761904761907  |  -1.5555555555555554  |   -0.916666666666667  |  -1.5555555555555554  |  -0.22666666666666666 |  -0.22666666666666666 |  -0.5333333333333332   |          1.0          |         1.0          |   -0.916666666666667  |          1.0          |   -0.703703703703704  |  0.04166666666666653   |         1.0          |  -1.5555555555555554  |          1.0          |  0.04166666666666653   |         1.0          |  0.04166666666666653   |  -1.5555555555555554  |         1.0          |  -0.5333333333333332  |  0.14814814814814797  |  0.09803921568627436   |  0.04166666666666653   |  -1.5555555555555554  |  -1.5555555555555554  |  0.09803921568627436   |  -1.5555555555555554  |  -0.5333333333333332  |  -0.5333333333333338  |         1.0          |         1.0          |  0.19298245614035067  |         1.0          |  -1.1904761904761907  |   -0.916666666666667  |  -1.1904761904761907  |  -1.5555555555555554  |
|            Conviction            |   2.4782608695652173   |   0.6521739130434784   |          inf           |          inf           |   1.2173913043478262   |   0.7608695652173914   |   1.0271739130434783   |          0.75         |   0.5217391304347827   |          inf          |   1.478260869565217    |   0.6086956521739131  |   0.6956521739130435   |  1.7391304347826086  |   2.2826086956521743  |   0.6521739130434784  |   1.1956521739130432  |         inf          |   0.6521739130434784  |   0.5217391304347827  |   1.391304347826087   |   0.6956521739130435  |   1.391304347826087   |         inf          |   1.652173913043478   |   1.478260869565217   |   1.652173913043478   |         inf          |         inf          |   0.5217391304347827  |         inf          |   0.5217391304347827  | 0.26086956521739135  |   0.5217391304347827  |   1.391304347826087   |   1.391304347826087   |         inf          |   1.391304347826087   |   0.6086956521739131  |  0.34782608695652173  |   2.4782608695652173   |          inf           |          inf          |   2.0652173913043477  |   0.6956521739130435   |   1.0434782608695652   |   1.0434782608695652   |  0.45652173913043487  |          0.75         |   1.0434782608695652   |   1.0434782608695652   |   1.0434782608695652   |  0.45652173913043487   |   0.2608695652173913   |  0.39130434782608703   |   0.2608695652173913   |   1.0434782608695652   |  0.39130434782608703   |          inf           |          inf          |   1.0434782608695652   |  0.39130434782608703   |   2.0652173913043477  |  0.45652173913043487  |  0.39130434782608703  |   0.5217391304347826  |  0.39130434782608703  |   0.8152173913043478  |   0.8152173913043478  |   0.6521739130434784   |          inf          |         inf          |   0.5217391304347826  |          inf          |   0.5869565217391304  |   1.0434782608695652   |         inf          |  0.39130434782608703  |          inf          |   1.0434782608695652   |         inf          |   1.0434782608695652   |  0.39130434782608703  |         inf          |   0.6521739130434784  |   1.1739130434782608  |   1.1086956521739129   |   1.0434782608695652   |  0.39130434782608703  |  0.39130434782608703  |   1.1086956521739129   |  0.39130434782608703  |   0.6521739130434784  |   0.6521739130434782  |         inf          |         inf          |   1.2391304347826086  |         inf          |  0.45652173913043487  |   0.5217391304347826  |  0.45652173913043487  |  0.39130434782608703  |
|        Coverage (Support)        |  0.13043478260869565   |  0.10869565217391304   |  0.08695652173913043   |  0.08695652173913043   |  0.15217391304347827   |  0.15217391304347827   |  0.15217391304347827   |  0.13043478260869565  |  0.08695652173913043   |  0.08695652173913043  |  0.08695652173913043   |  0.08695652173913043  |  0.08695652173913043   | 0.10869565217391304  |  0.10869565217391304  |  0.10869565217391304  |  0.10869565217391304  | 0.10869565217391304  |  0.10869565217391304  |  0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  | 0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  | 0.08695652173913043  | 0.08695652173913043  |  0.08695652173913043  | 0.08695652173913043  |  0.08695652173913043  | 0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  | 0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  |  0.08695652173913043  |  0.13043478260869565   |  0.06521739130434782   |  0.06521739130434782  |  0.10869565217391304  |  0.08695652173913043   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782  |  0.06521739130434782   |  0.06521739130434782   |  0.10869565217391304  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782   |  0.06521739130434782  | 0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782   | 0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782   | 0.06521739130434782  |  0.06521739130434782   |  0.06521739130434782  | 0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782   |  0.06521739130434782   |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782   |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  | 0.06521739130434782  | 0.06521739130434782  |  0.06521739130434782  | 0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |  0.06521739130434782  |
