+----------------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+
|              Metric              |           P1          |           P2          |           P3          |           P4           |           P5          |           P6           |           P7           |
+----------------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+
|  Outcome selected for analysis   |           1           |           1           |           1           |           1            |           1           |           1            |           1            |
|     Goodman-Kruskal's Lambda     |   0.6404109589041096  |   0.6416382252559727  |   0.6476510067114094  |   0.8333333333333333   |   0.6788990825688073  |   0.6798780487804877   |   0.6856287425149701   |
|       Least Contradiction        |  0.16250000000000003  |  0.15833333333333335  |  0.17083333333333334  |   0.1054421768707483   |  0.05416666666666666  |  0.045833333333333344  |  0.029166666666666664  |
|        Lerman Similarity         |   0.9361728113820267  |   0.8983222540938548  |   1.6683765497425713  |  -0.16625491120908886  |          0.5          |          0.25          |  0.17497411816890374   |
|        Piatetsky-Shapiro         |  0.018525519848771266 |  0.017643352236925036 |  0.029363579080025196 | -0.003049779458097035  |  0.005797101449275359 |  0.002898550724637683  | 0.0016383112791430385  |
|          Max Confidence          |   0.791044776119403   |   0.787878787878788   |   0.8867924528301886  |   0.8297872340425532   |   0.7826086956521738  |   0.7391304347826088   |   0.7333333333333333   |
|            Odds Ratio            |   1.8422459893048129  |   1.7978723404255323  |   4.018134715025908   |   0.8220588235294117   |   1.621621621621622   |   1.2578475336322872   |   1.2128820960698687   |
|   Phi Correlation Coefficient    |   0.1017767372309754  |  0.09748660695652812  |  0.17697729349225869  |  0.025049024110510472  |  0.050507627227610534 |  0.025253813613805267  |  0.017459497553883232  |
|          Ralambondrainy          |  0.04057971014492753  |  0.04057971014492753  |  0.017391304347826087 |  0.02318840579710145   |  0.014492753623188406 |  0.017391304347826087  |  0.011594202898550725  |
| Relative Linkage Disequilibrium  |   0.9999815968420182  |   0.9999806767018995  |   0.9999950239720149  |   0.9996886824081613   |    0.9999789964504    |   0.9999495929631776   |   0.9999405460842165   |
|          Relative Risk           |   1.175991699257722   |   1.1692456479690523  |   1.3416756281161404  |   0.9697121401752191   |   1.135135135135135   |   1.0672645739910314   |   1.0567685589519649   |
|        Rule Power Factor         |  0.12152282067921265  |  0.11875274483970139  |  0.12080940661744598  |  0.09380203515263645   |  0.040831758034026465 |  0.03642091997479521   |  0.023381642512077295  |
|         Sebag-Schoenauer         |   3.785714285714286   |   3.714285714285715   |   7.833333333333333   |         4.875          |   3.5999999999999996  |   2.8333333333333335   |          2.75          |
|              Yule Q              |  0.29633113828786456  |  0.28517110266159706  |   0.6014455343314404  |  -0.0976594027441485   |  0.23711340206185574  |   0.1142005958291957   |  0.09620128268376904   |
|              Yule Y              |   0.1515694195764259  |   0.1456086321913452  |  0.33433816137496203  |  -0.04894668650220538  |  0.12027165586443606  |  0.05728769423522384   |  0.04821244840536299   |
|         Weighted Support         |  0.19420289855072465  |  0.19130434782608696  |   0.1536231884057971  |  0.13623188405797101   |  0.06666666666666667  |  0.06666666666666667   |  0.043478260869565216  |
|      Weighted Rule Support       |   0.1536231884057971  |  0.15072463768115943  |  0.13623188405797101  |  0.11304347826086956   |  0.05217391304347826  |  0.04927536231884058   |  0.03188405797101449   |
|       Weighted Confidence        |   0.791044776119403   |   0.787878787878788   |   0.8867924528301886  |   0.8297872340425532   |   0.7826086956521738  |   0.7391304347826088   |   0.7333333333333333   |
|          Weighted Lift           |   1.1371268656716418  |   1.1325757575757578  |   1.274764150943396   |   0.9737299174989145   |         1.125         |         1.0625         |   1.0541666666666667   |
|     Statistical Significance     |  0.041542757539674985 |   0.0117279924889087  |   0.2825316786804701  |  0.24099320190390222   |  0.03068268201028722  |  0.056070514630340684  | 9.376059493682005e-05  |
|           FleBiC Score           |  0.024134440916711866 |  0.006377571354547679 |   0.4216144983191396  |  0.03810979140021371   |  0.007871816324220104 |  0.009719779580205106  | 1.6302361882091517e-05 |
+----------------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+
