AHR_ECOLI,LCFA_ECOLI,Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic,Fatty_acyl_CoA_reductase,A1U2T0,A1U3L3,values
4.0,1.0,1.0,0.0,3.0,0.0,0.0
3.0,4.0,4.0,0.0,4.0,1.0,0.06605
3.0,4.0,4.0,2.0,3.0,1.0,0.10366
4.0,1.0,1.0,3.0,3.0,1.0,0.0
3.0,4.0,4.0,3.0,3.0,1.0,0.05544
3.0,4.0,4.0,3.0,3.0,0.0,0.08471
4.0,1.0,1.0,3.0,3.0,1.0,0.0
2.0,3.0,3.0,2.0,3.0,0.0,0.11299
3.0,3.0,3.0,0.0,3.0,1.0,0.11077
2.0,3.0,3.0,2.0,3.0,0.0,0.11784
1.0,0.0,3.0,2.0,2.0,0.0,0.0
1.0,0.0,3.0,0.0,2.0,0.0,0.0
2.0,0.0,3.0,3.0,2.0,0.0,0.0
4.0,4.0,4.0,4.0,1.0,0.0,0.01887
4.0,4.0,4.0,4.0,1.0,0.0,0.01131
4.0,4.0,4.0,4.0,1.0,0.0,0.01617
4.0,2.0,4.0,4.0,0.0,0.0,0.01306
4.0,2.0,4.0,4.0,0.0,0.0,0.01181
4.0,2.0,4.0,4.0,0.0,0.0,0.01999
1.0,1.0,2.0,0.0,1.0,3.0,0.46831
0.0,1.0,2.0,3.0,0.0,3.0,0.46912
1.0,1.0,2.0,0.0,0.0,3.0,0.53089
2.0,1.0,2.0,0.0,0.0,3.0,0.53505
1.0,1.0,2.0,0.0,0.0,3.0,0.55245
3.0,2.0,0.0,2.0,0.0,3.0,0.08332
2.0,3.0,0.0,0.0,1.0,3.0,0.07902
3.0,3.0,0.0,2.0,0.0,3.0,0.0818
0.0,2.0,2.0,2.0,1.0,2.0,0.53316
1.0,2.0,2.0,0.0,1.0,2.0,0.57466
1.0,2.0,2.0,1.0,0.0,2.0,0.57237
0.0,2.0,2.0,0.0,0.0,3.0,0.77272
0.0,2.0,2.0,0.0,0.0,3.0,0.78618
1.0,2.0,2.0,0.0,0.0,2.0,0.63372
0.0,2.0,2.0,2.0,1.0,2.0,0.61229
1.0,2.0,2.0,0.0,0.0,2.0,0.59677
0.0,4.0,3.0,0.0,2.0,3.0,0.47953
0.0,4.0,3.0,0.0,0.0,3.0,0.49699
3.0,3.0,4.0,0.0,2.0,4.0,0.33696
2.0,3.0,4.0,0.0,1.0,4.0,0.35211
3.0,3.0,4.0,0.0,1.0,4.0,0.37076
1.0,2.0,2.0,3.0,1.0,4.0,0.27883
2.0,2.0,2.0,0.0,1.0,4.0,0.30908
1.0,1.0,2.0,0.0,0.0,3.0,0.28538
2.0,1.0,1.0,0.0,0.0,3.0,0.31091
2.0,2.0,2.0,0.0,1.0,4.0,0.27344
1.0,2.0,2.0,0.0,0.0,4.0,0.29577
2.0,1.0,1.0,3.0,1.0,3.0,0.2839
3.0,1.0,1.0,3.0,1.0,3.0,0.30081
1.0,1.0,1.0,3.0,1.0,3.0,0.28445
0.0,3.0,3.0,3.0,0.0,2.0,0.2757
1.0,2.0,4.0,3.0,0.0,2.0,0.33594
0.0,2.0,4.0,3.0,1.0,2.0,0.35072
3.0,3.0,4.0,3.0,2.0,4.0,0.16912
3.0,3.0,4.0,0.0,1.0,4.0,0.17383
3.0,3.0,4.0,0.0,1.0,4.0,0.20522
2.0,3.0,3.0,0.0,0.0,3.0,0.67963
2.0,3.0,3.0,0.0,2.0,3.0,0.65743
1.0,3.0,3.0,0.0,2.0,3.0,0.63307
4.0,1.0,3.0,2.0,3.0,1.0,0.04874
4.0,1.0,3.0,3.0,3.0,1.0,0.05014
4.0,1.0,3.0,3.0,3.0,1.0,0.04472
4.0,0.0,2.0,3.0,3.0,1.0,0.00735
4.0,0.0,2.0,3.0,3.0,1.0,0.00384
4.0,0.0,2.0,3.0,3.0,1.0,0.00538
4.0,0.0,2.0,3.0,3.0,1.0,0.00041
4.0,0.0,3.0,4.0,3.0,0.0,0.0
4.0,0.0,3.0,3.0,3.0,0.0,0.0
2.0,1.0,3.0,0.0,2.0,1.0,0.03711
3.0,1.0,3.0,3.0,2.0,1.0,0.01411
3.0,1.0,3.0,0.0,2.0,1.0,0.01207
4.0,0.0,2.0,2.0,3.0,1.0,0.0
4.0,0.0,2.0,3.0,3.0,0.0,0.0
4.0,0.0,2.0,0.0,3.0,1.0,0.0
3.0,3.0,0.0,0.0,2.0,4.0,0.0
3.0,4.0,0.0,2.0,2.0,4.0,0.0
3.0,4.0,0.0,3.0,2.0,4.0,0.0
2.0,2.0,0.0,0.0,1.0,4.0,0.0
1.0,2.0,0.0,0.0,1.0,4.0,0.0
0.0,2.0,0.0,0.0,1.0,4.0,0.0
0.0,2.0,0.0,2.0,2.0,4.0,0.0
0.0,2.0,0.0,0.0,1.0,4.0,0.0
0.0,2.0,0.0,0.0,1.0,4.0,0.00579
3.0,4.0,4.0,3.0,4.0,1.0,0.07021
4.0,4.0,4.0,3.0,4.0,1.0,0.06135
3.0,4.0,4.0,4.0,4.0,0.0,0.06716
3.0,0.0,1.0,4.0,2.0,0.0,0.01319
1.0,0.0,0.0,4.0,2.0,0.0,0.01294
2.0,0.0,1.0,4.0,2.0,1.0,0.01236
1.0,0.0,0.0,4.0,2.0,0.0,0.0
3.0,0.0,0.0,3.0,3.0,0.0,0.0
3.0,0.0,0.0,0.0,2.0,1.0,0.0
1.0,0.0,0.0,3.0,2.0,0.0,0.0
2.0,0.0,0.0,4.0,2.0,0.0,0.0
2.0,0.0,0.0,3.0,2.0,1.0,0.0
4.0,0.0,0.0,0.0,3.0,1.0,0.0
3.0,0.0,0.0,2.0,3.0,1.0,0.0
4.0,0.0,0.0,3.0,3.0,1.0,0.0
1.0,3.0,0.0,0.0,0.0,4.0,0.0
0.0,2.0,0.0,0.0,1.0,4.0,0.0
1.0,2.0,0.0,0.0,2.0,4.0,0.0
0.0,3.0,0.0,0.0,0.0,4.0,0.0
2.0,2.0,0.0,0.0,1.0,4.0,0.0
1.0,2.0,0.0,0.0,2.0,4.0,0.0
0.0,3.0,0.0,0.0,2.0,4.0,0.0
1.0,2.0,0.0,0.0,1.0,4.0,0.0
0.0,3.0,0.0,0.0,1.0,4.0,0.0
3.0,3.0,4.0,0.0,2.0,4.0,0.24434
2.0,3.0,4.0,3.0,2.0,4.0,0.25846
2.0,3.0,4.0,0.0,0.0,4.0,0.27516
1.0,2.0,3.0,2.0,1.0,4.0,0.24766
1.0,2.0,2.0,4.0,1.0,4.0,0.23005
1.0,2.0,3.0,0.0,0.0,4.0,0.24679
2.0,2.0,3.0,2.0,1.0,4.0,0.24922
1.0,2.0,3.0,0.0,1.0,4.0,0.2641
0.0,2.0,3.0,3.0,1.0,4.0,0.27461
3.0,1.0,3.0,0.0,1.0,3.0,0.27217
4.0,1.0,3.0,0.0,1.0,3.0,0.31103
3.0,1.0,4.0,3.0,1.0,3.0,0.3857
2.0,2.0,2.0,2.0,1.0,4.0,0.64656
3.0,2.0,3.0,2.0,1.0,4.0,0.73397
3.0,2.0,2.0,0.0,0.0,4.0,0.80331
0.0,2.0,2.0,3.0,1.0,3.0,0.93985
1.0,2.0,2.0,0.0,1.0,3.0,0.92886
1.0,2.0,2.0,0.0,1.0,3.0,0.94019
3.0,0.0,3.0,4.0,1.0,3.0,0.10366
3.0,0.0,3.0,0.0,1.0,3.0,0.10105
3.0,0.0,3.0,4.0,1.0,3.0,0.10253
2.0,0.0,4.0,3.0,0.0,3.0,0.14078
2.0,0.0,4.0,3.0,1.0,3.0,0.15048
2.0,0.0,4.0,0.0,0.0,3.0,0.1451
