AHR_ECOLI,LCFA_ECOLI,Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic,Fatty_acyl_CoA_reductase,A1U2T0,A1U3L3,values
1.0,2.0,2.0,4.0,4.0,5.0,0.27883
2.0,2.0,2.0,0.0,4.0,5.0,0.30908
1.0,2.0,3.0,0.0,0.0,5.0,0.28538
2.0,2.0,2.0,0.0,0.0,5.0,0.31091
2.0,2.0,3.0,0.0,4.0,5.0,0.27344
2.0,3.0,3.0,0.0,0.0,5.0,0.29577
2.0,2.0,2.0,3.0,3.0,5.0,0.2839
3.0,2.0,2.0,4.0,2.0,5.0,0.30081
2.0,2.0,2.0,3.0,2.0,5.0,0.28445
0.0,4.0,5.0,3.0,0.0,4.0,0.2757
1.0,3.0,5.0,3.0,0.0,3.0,0.33594
1.0,3.0,5.0,3.0,2.0,3.0,0.35072
4.0,5.0,6.0,3.0,6.0,6.0,0.16912
3.0,5.0,6.0,0.0,2.0,6.0,0.17383
3.0,5.0,6.0,0.0,3.0,6.0,0.20522
2.0,5.0,5.0,0.0,0.0,4.0,0.67963
2.0,4.0,5.0,0.0,6.0,4.0,0.65743
2.0,5.0,5.0,0.0,5.0,4.0,0.63307
4.0,2.0,4.0,3.0,6.0,2.0,0.04874
4.0,2.0,4.0,4.0,6.0,1.0,0.05014
4.0,2.0,5.0,3.0,6.0,1.0,0.04472
4.0,0.0,4.0,4.0,6.0,1.0,0.00735
4.0,0.0,3.0,4.0,6.0,1.0,0.00384
4.0,1.0,4.0,3.0,6.0,1.0,0.00538
4.0,0.0,4.0,4.0,6.0,1.0,0.00041
5.0,0.0,5.0,4.0,6.0,1.0,0.0
5.0,0.0,5.0,4.0,6.0,1.0,0.0
2.0,2.0,4.0,0.0,6.0,2.0,0.03711
3.0,2.0,4.0,3.0,6.0,2.0,0.01411
4.0,2.0,4.0,0.0,6.0,2.0,0.01207
4.0,0.0,3.0,2.0,6.0,1.0,0.0
4.0,0.0,3.0,4.0,6.0,0.0,0.0
4.0,0.0,3.0,0.0,6.0,1.0,0.0
3.0,5.0,1.0,0.0,4.0,6.0,0.0
3.0,5.0,1.0,3.0,5.0,6.0,0.0
3.0,5.0,0.0,3.0,4.0,6.0,0.0
2.0,4.0,0.0,0.0,4.0,5.0,0.0
1.0,3.0,0.0,0.0,4.0,5.0,0.0
1.0,3.0,0.0,0.0,4.0,5.0,0.0
0.0,3.0,0.0,2.0,4.0,5.0,0.0
0.0,3.0,0.0,0.0,3.0,5.0,0.0
0.0,3.0,0.0,0.0,3.0,6.0,0.00579
4.0,6.0,6.0,4.0,6.0,1.0,0.07021
4.0,6.0,6.0,4.0,6.0,1.0,0.06135
4.0,6.0,6.0,4.0,6.0,1.0,0.06716
3.0,0.0,1.0,4.0,5.0,1.0,0.01319
1.0,0.0,1.0,4.0,5.0,1.0,0.01294
2.0,0.0,1.0,4.0,5.0,1.0,0.01236
1.0,0.0,1.0,4.0,6.0,1.0,0.0
3.0,0.0,1.0,3.0,6.0,0.0,0.0
3.0,0.0,1.0,0.0,6.0,1.0,0.0
1.0,0.0,1.0,3.0,6.0,1.0,0.0
2.0,0.0,1.0,4.0,6.0,0.0,0.0
3.0,0.0,1.0,4.0,6.0,1.0,0.0
4.0,0.0,1.0,0.0,6.0,2.0,0.0
4.0,0.0,1.0,3.0,6.0,2.0,0.0
4.0,0.0,1.0,3.0,6.0,2.0,0.0
1.0,4.0,0.0,0.0,0.0,5.0,0.0
1.0,4.0,0.0,0.0,4.0,6.0,0.0
1.0,4.0,0.0,0.0,5.0,6.0,0.0
1.0,4.0,0.0,0.0,0.0,6.0,0.0
2.0,3.0,0.0,0.0,3.0,6.0,0.0
2.0,4.0,0.0,0.0,4.0,6.0,0.0
0.0,4.0,0.0,0.0,5.0,5.0,0.0
1.0,4.0,0.0,0.0,2.0,6.0,0.0
0.0,4.0,0.0,0.0,1.0,6.0,0.0
3.0,5.0,6.0,0.0,5.0,6.0,0.24434
2.0,5.0,6.0,4.0,5.0,6.0,0.25846
3.0,5.0,6.0,0.0,0.0,6.0,0.27516
1.0,3.0,4.0,3.0,4.0,5.0,0.24766
1.0,3.0,4.0,4.0,1.0,5.0,0.23005
2.0,3.0,4.0,0.0,0.0,5.0,0.24679
2.0,3.0,4.0,2.0,3.0,5.0,0.24922
1.0,3.0,5.0,0.0,4.0,5.0,0.2641
0.0,2.0,4.0,4.0,4.0,5.0,0.27461
4.0,1.0,5.0,0.0,2.0,5.0,0.27217
4.0,1.0,5.0,0.0,4.0,5.0,0.31103
4.0,1.0,5.0,4.0,4.0,5.0,0.3857
3.0,3.0,4.0,3.0,4.0,5.0,0.64656
3.0,3.0,4.0,3.0,4.0,5.0,0.73397
3.0,3.0,4.0,0.0,0.0,5.0,0.80331
0.0,4.0,3.0,4.0,3.0,5.0,0.93985
1.0,3.0,3.0,0.0,4.0,5.0,0.92886
2.0,4.0,3.0,0.0,3.0,5.0,0.94019
4.0,1.0,5.0,4.0,4.0,5.0,0.10366
4.0,1.0,5.0,0.0,1.0,4.0,0.10105
4.0,1.0,5.0,4.0,1.0,4.0,0.10253
2.0,0.0,5.0,3.0,0.0,4.0,0.14078
2.0,0.0,5.0,3.0,2.0,4.0,0.15048
2.0,0.0,5.0,0.0,0.0,4.0,0.1451
