AHR_ECOLI,LCFA_ECOLI,Dodecanoyl_acyl_carrier_protein_hydrolase_chloroplastic,Fatty-acyl_CoA_reductase,A1U2T0,A1U3L3,values
2.0,1.0,0.0,0.0,2.0,0.0,0.0
2.0,2.0,2.0,0.0,2.0,0.0,0.06605
2.0,2.0,2.0,2.0,2.0,0.0,0.10366
2.0,1.0,0.0,2.0,2.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.05544
2.0,2.0,2.0,2.0,2.0,0.0,0.08471
2.0,1.0,0.0,2.0,2.0,0.0,0.0
1.0,2.0,2.0,2.0,2.0,0.0,0.11299
1.0,2.0,2.0,0.0,2.0,0.0,0.11077
1.0,2.0,2.0,2.0,2.0,0.0,0.11784
1.0,0.0,2.0,2.0,2.0,0.0,0.0
1.0,0.0,2.0,0.0,2.0,0.0,0.0
1.0,0.0,2.0,2.0,2.0,0.0,0.0
2.0,2.0,2.0,2.0,1.0,0.0,0.01887
2.0,2.0,2.0,2.0,1.0,0.0,0.01131
2.0,2.0,2.0,2.0,1.0,0.0,0.01617
2.0,1.0,2.0,2.0,0.0,0.0,0.01306
2.0,1.0,2.0,2.0,0.0,0.0,0.01181
2.0,1.0,2.0,2.0,0.0,0.0,0.01999
0.0,0.0,1.0,0.0,1.0,2.0,0.46831
0.0,0.0,1.0,2.0,0.0,2.0,0.46912
1.0,0.0,1.0,0.0,0.0,2.0,0.53089
1.0,0.0,1.0,0.0,0.0,2.0,0.53505
0.0,0.0,1.0,0.0,0.0,2.0,0.55245
2.0,2.0,0.0,2.0,0.0,1.0,0.08332
1.0,2.0,0.0,0.0,0.0,1.0,0.07902
2.0,2.0,0.0,2.0,0.0,1.0,0.0818
0.0,1.0,1.0,2.0,1.0,1.0,0.53316
0.0,1.0,1.0,0.0,0.0,1.0,0.57466
0.0,1.0,1.0,1.0,0.0,1.0,0.57237
0.0,2.0,1.0,0.0,0.0,1.0,0.77272
0.0,2.0,1.0,0.0,0.0,1.0,0.78618
0.0,1.0,1.0,0.0,0.0,1.0,0.63372
0.0,1.0,1.0,2.0,0.0,1.0,0.61229
0.0,1.0,1.0,0.0,0.0,1.0,0.59677
0.0,2.0,1.0,0.0,1.0,1.0,0.47953
0.0,2.0,2.0,0.0,0.0,1.0,0.49699
1.0,2.0,2.0,0.0,1.0,2.0,0.33696
1.0,2.0,2.0,0.0,1.0,2.0,0.35211
1.0,2.0,2.0,0.0,0.0,2.0,0.37076
0.0,1.0,1.0,2.0,1.0,2.0,0.27883
1.0,1.0,1.0,0.0,1.0,2.0,0.30908
0.0,1.0,1.0,0.0,0.0,2.0,0.28538
1.0,1.0,1.0,0.0,0.0,2.0,0.31091
1.0,1.0,1.0,0.0,1.0,2.0,0.27344
1.0,1.0,1.0,0.0,0.0,2.0,0.29577
1.0,0.0,1.0,2.0,1.0,2.0,0.2839
2.0,1.0,0.0,2.0,0.0,2.0,0.30081
1.0,0.0,1.0,2.0,0.0,2.0,0.28445
0.0,2.0,2.0,2.0,0.0,1.0,0.2757
0.0,1.0,2.0,2.0,0.0,1.0,0.33594
0.0,1.0,2.0,2.0,0.0,1.0,0.35072
2.0,2.0,2.0,2.0,2.0,2.0,0.16912
2.0,2.0,2.0,0.0,0.0,2.0,0.17383
2.0,2.0,2.0,0.0,0.0,2.0,0.20522
1.0,2.0,2.0,0.0,0.0,1.0,0.67963
1.0,2.0,2.0,0.0,2.0,1.0,0.65743
1.0,2.0,2.0,0.0,2.0,1.0,0.63307
2.0,1.0,1.0,2.0,2.0,0.0,0.04874
2.0,1.0,2.0,2.0,2.0,0.0,0.05014
2.0,1.0,2.0,2.0,2.0,0.0,0.04472
2.0,0.0,1.0,2.0,2.0,0.0,0.00735
2.0,0.0,1.0,2.0,2.0,0.0,0.00384
2.0,0.0,1.0,2.0,2.0,0.0,0.00538
2.0,0.0,1.0,2.0,2.0,0.0,0.00041
2.0,0.0,2.0,2.0,2.0,0.0,0.0
2.0,0.0,2.0,2.0,2.0,0.0,0.0
1.0,1.0,1.0,0.0,2.0,0.0,0.03711
1.0,1.0,1.0,2.0,2.0,0.0,0.01411
2.0,1.0,1.0,0.0,2.0,0.0,0.01207
2.0,0.0,1.0,2.0,2.0,0.0,0.0
2.0,0.0,1.0,2.0,2.0,0.0,0.0
2.0,0.0,1.0,0.0,2.0,0.0,0.0
1.0,2.0,0.0,0.0,1.0,2.0,0.0
1.0,2.0,0.0,2.0,1.0,2.0,0.0
1.0,2.0,0.0,2.0,1.0,2.0,0.0
1.0,2.0,0.0,0.0,1.0,2.0,0.0
0.0,1.0,0.0,0.0,1.0,2.0,0.0
0.0,1.0,0.0,0.0,1.0,2.0,0.0
0.0,1.0,0.0,1.0,1.0,2.0,0.0
0.0,1.0,0.0,0.0,1.0,2.0,0.0
0.0,1.0,0.0,0.0,1.0,2.0,0.00579
2.0,2.0,2.0,2.0,2.0,0.0,0.07021
2.0,2.0,2.0,2.0,2.0,0.0,0.06135
2.0,2.0,2.0,2.0,2.0,0.0,0.06716
1.0,0.0,0.0,2.0,2.0,0.0,0.01319
0.0,0.0,0.0,2.0,2.0,0.0,0.01294
1.0,0.0,0.0,2.0,2.0,0.0,0.01236
0.0,0.0,0.0,2.0,2.0,0.0,0.0
2.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,0.0,0.0
2.0,0.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,2.0,2.0,0.0,0.0
2.0,0.0,0.0,2.0,2.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,2.0,0.0
0.0,2.0,0.0,0.0,1.0,2.0,0.0
0.0,2.0,0.0,0.0,1.0,2.0,0.0
0.0,2.0,0.0,0.0,0.0,2.0,0.0
1.0,1.0,0.0,0.0,1.0,2.0,0.0
1.0,2.0,0.0,0.0,1.0,2.0,0.0
0.0,2.0,0.0,0.0,1.0,2.0,0.0
0.0,2.0,0.0,0.0,0.0,2.0,0.0
0.0,2.0,0.0,0.0,0.0,2.0,0.0
1.0,2.0,2.0,0.0,1.0,2.0,0.24434
1.0,2.0,2.0,2.0,1.0,2.0,0.25846
1.0,2.0,2.0,0.0,0.0,2.0,0.27516
0.0,1.0,1.0,2.0,1.0,2.0,0.24766
0.0,1.0,1.0,2.0,0.0,2.0,0.23005
1.0,1.0,2.0,0.0,0.0,2.0,0.24679
1.0,1.0,1.0,1.0,0.0,2.0,0.24922
0.0,1.0,2.0,0.0,1.0,2.0,0.2641
0.0,1.0,1.0,2.0,1.0,2.0,0.27461
2.0,0.0,2.0,0.0,0.0,2.0,0.27217
2.0,0.0,2.0,0.0,1.0,2.0,0.31103
2.0,0.0,2.0,2.0,1.0,2.0,0.3857
1.0,1.0,1.0,2.0,1.0,2.0,0.64656
1.0,1.0,1.0,2.0,1.0,2.0,0.73397
2.0,1.0,1.0,0.0,0.0,2.0,0.80331
0.0,1.0,1.0,2.0,1.0,2.0,0.93985
0.0,1.0,1.0,0.0,1.0,2.0,0.92886
1.0,1.0,1.0,0.0,1.0,2.0,0.94019
2.0,0.0,2.0,2.0,1.0,2.0,0.10366
2.0,0.0,2.0,0.0,0.0,1.0,0.10105
2.0,0.0,2.0,2.0,0.0,1.0,0.10253
1.0,0.0,2.0,2.0,0.0,1.0,0.14078
1.0,0.0,2.0,2.0,0.0,1.0,0.15048
1.0,0.0,2.0,0.0,0.0,1.0,0.1451
