names,values,assay_name
tetradecan-1-ol,0.05187,C1-S11-B1.2-R2
dodecan-1-ol,0.63582,C1-S11-B1.2-R3
hexadecan-1-ol,0.03697,C1-S11-B1.2-R3
octadecan-1-ol,0.07083,C1-S11-B1.2-R3
tetradecan-1-ol,0.05063,C1-S11-B1.2-R3
dodecan-1-ol,0.15449,C1-S19-B1.2-R1
hexadecan-1-ol,0.34725,C1-S19-B1.2-R1
octadecan-1-ol,0.32086,C1-S19-B1.2-R1
tetradecan-1-ol,0.14312,C1-S19-B1.2-R1
dodecan-1-ol,0.14858,C1-S19-B1.2-R2
hexadecan-1-ol,0.34795,C1-S19-B1.2-R2
octadecan-1-ol,0.32329,C1-S19-B1.2-R2
tetradecan-1-ol,0.14471,C1-S19-B1.2-R2
dodecan-1-ol,0.13323,C1-S19-B1.2-R3
hexadecan-1-ol,0.36123,C1-S19-B1.2-R3
octadecan-1-ol,0.34167,C1-S19-B1.2-R3
tetradecan-1-ol,0.15128,C1-S19-B1.2-R3
dodecan-1-ol,0.01969,C1-S25-B1.2-R1
hexadecan-1-ol,0.02783,C1-S25-B1.2-R1
octadecan-1-ol,0.06519,C1-S25-B1.2-R1
tetradecan-1-ol,0.00671,C1-S25-B1.2-R1
dodecan-1-ol,0.00792,C1-S25-B1.2-R2
hexadecan-1-ol,0.02726,C1-S25-B1.2-R2
octadecan-1-ol,0.06282,C1-S25-B1.2-R2
tetradecan-1-ol,0.00544,C1-S25-B1.2-R2
dodecan-1-ol,0.00992,C1-S25-B1.2-R3
hexadecan-1-ol,0,C1-S25-B1.2-R3
octadecan-1-ol,0.06339,C1-S25-B1.2-R3
tetradecan-1-ol,0.00595,C1-S25-B1.2-R3
dodecan-1-ol,0.07135,C1-S26-B1.2-R1
hexadecan-1-ol,0.027,C1-S26-B1.2-R1
octadecan-1-ol,0.0636,C1-S26-B1.2-R1
tetradecan-1-ol,0.01236,C1-S26-B1.2-R1
dodecan-1-ol,0.07881,C1-S26-B1.2-R2
hexadecan-1-ol,0.0272,C1-S26-B1.2-R2
octadecan-1-ol,0.06354,C1-S26-B1.2-R2
tetradecan-1-ol,0.0145,C1-S26-B1.2-R2
dodecan-1-ol,0.06607,C1-S26-B1.2-R3
hexadecan-1-ol,0.02712,C1-S26-B1.2-R3
octadecan-1-ol,0.06288,C1-S26-B1.2-R3
tetradecan-1-ol,0.01248,C1-S26-B1.2-R3
dodecan-1-ol,0.00568,C1-S27-B1.2-R1
hexadecan-1-ol,0,C1-S27-B1.2-R1
octadecan-1-ol,0.0608,C1-S27-B1.2-R1
tetradecan-1-ol,0.0032,C1-S27-B1.2-R1
dodecan-1-ol,0.0067,C1-S27-B1.2-R2
hexadecan-1-ol,0,C1-S27-B1.2-R2
octadecan-1-ol,0,C1-S27-B1.2-R2
tetradecan-1-ol,0.00254,C1-S27-B1.2-R2
dodecan-1-ol,0.00717,C1-S27-B1.2-R3
hexadecan-1-ol,0,C1-S27-B1.2-R3
octadecan-1-ol,0.06082,C1-S27-B1.2-R3
tetradecan-1-ol,0.00242,C1-S27-B1.2-R3
dodecan-1-ol,0.02839,C1-S28-B1.2-R1
hexadecan-1-ol,0.02684,C1-S28-B1.2-R1
octadecan-1-ol,0.06367,C1-S28-B1.2-R1
tetradecan-1-ol,0.00682,C1-S28-B1.2-R1
dodecan-1-ol,0.0294,C1-S28-B1.2-R2
hexadecan-1-ol,0,C1-S28-B1.2-R2
octadecan-1-ol,0.06245,C1-S28-B1.2-R2
tetradecan-1-ol,0.00625,C1-S28-B1.2-R2
dodecan-1-ol,0.02603,C1-S28-B1.2-R3
hexadecan-1-ol,0,C1-S28-B1.2-R3
octadecan-1-ol,0.06312,C1-S28-B1.2-R3
tetradecan-1-ol,0.00721,C1-S28-B1.2-R3
dodecan-1-ol,0.07451,C1-S29-B1.2-R1
hexadecan-1-ol,0,C1-S29-B1.2-R1
octadecan-1-ol,0.06183,C1-S29-B1.2-R1
tetradecan-1-ol,0.00946,C1-S29-B1.2-R1
dodecan-1-ol,0.07485,C1-S29-B1.2-R2
hexadecan-1-ol,0,C1-S29-B1.2-R2
octadecan-1-ol,0.06279,C1-S29-B1.2-R2
tetradecan-1-ol,0.00951,C1-S29-B1.2-R2
dodecan-1-ol,0.07622,C1-S29-B1.2-R3
hexadecan-1-ol,0,C1-S29-B1.2-R3
octadecan-1-ol,0.06159,C1-S29-B1.2-R3
tetradecan-1-ol,0.01004,C1-S29-B1.2-R3
dodecan-1-ol,0.02221,C1-S30-B1.2-R1
hexadecan-1-ol,0,C1-S30-B1.2-R1
octadecan-1-ol,0.06095,C1-S30-B1.2-R1
tetradecan-1-ol,0.0039,C1-S30-B1.2-R1
dodecan-1-ol,0.02006,C1-S30-B1.2-R2
hexadecan-1-ol,0.02659,C1-S30-B1.2-R2
octadecan-1-ol,0.06086,C1-S30-B1.2-R2
tetradecan-1-ol,0.00317,C1-S30-B1.2-R2
dodecan-1-ol,0.01652,C1-S30-B1.2-R3
hexadecan-1-ol,0,C1-S30-B1.2-R3
octadecan-1-ol,0,C1-S30-B1.2-R3
tetradecan-1-ol,0.00311,C1-S30-B1.2-R3
dodecan-1-ol,0,C1-S31-B1.2-R1
hexadecan-1-ol,0.04583,C1-S31-B1.2-R1
octadecan-1-ol,0.14573,C1-S31-B1.2-R1
tetradecan-1-ol,0.02681,C1-S31-B1.2-R1
dodecan-1-ol,0,C1-S31-B1.2-R2
hexadecan-1-ol,0.04613,C1-S31-B1.2-R2
octadecan-1-ol,0.1483,C1-S31-B1.2-R2
tetradecan-1-ol,0.02732,C1-S31-B1.2-R2
dodecan-1-ol,0,C1-S31-B1.2-R3
hexadecan-1-ol,0.04774,C1-S31-B1.2-R3
octadecan-1-ol,0.15565,C1-S31-B1.2-R3
tetradecan-1-ol,0.03033,C1-S31-B1.2-R3
dodecan-1-ol,0.13608,C1-S32-B1.2-R1
hexadecan-1-ol,0.18256,C1-S32-B1.2-R1
octadecan-1-ol,0.27221,C1-S32-B1.2-R1
tetradecan-1-ol,0.13651,C1-S32-B1.2-R1
dodecan-1-ol,0.14315,C1-S32-B1.2-R2
hexadecan-1-ol,0.19575,C1-S32-B1.2-R2
octadecan-1-ol,0.28714,C1-S32-B1.2-R2
tetradecan-1-ol,0.14495,C1-S32-B1.2-R2
dodecan-1-ol,0.1477,C1-S32-B1.2-R3
hexadecan-1-ol,0.20775,C1-S32-B1.2-R3
octadecan-1-ol,0.30972,C1-S32-B1.2-R3
tetradecan-1-ol,0.15566,C1-S32-B1.2-R3
dodecan-1-ol,0.11299,C1-S33-B1.2-R1
hexadecan-1-ol,0.14641,C1-S33-B1.2-R1
octadecan-1-ol,0.20792,C1-S33-B1.2-R1
tetradecan-1-ol,0.10764,C1-S33-B1.2-R1
dodecan-1-ol,0.11077,C1-S33-B1.2-R2
hexadecan-1-ol,0.1427,C1-S33-B1.2-R2
octadecan-1-ol,0.20296,C1-S33-B1.2-R2
tetradecan-1-ol,0.1034,C1-S33-B1.2-R2
dodecan-1-ol,0.11784,C1-S33-B1.2-R3
hexadecan-1-ol,0.13655,C1-S33-B1.2-R3
octadecan-1-ol,0.19971,C1-S33-B1.2-R3
tetradecan-1-ol,0.10155,C1-S33-B1.2-R3
dodecan-1-ol,0,C1-S34-B1.2-R1
hexadecan-1-ol,0.03028,C1-S34-B1.2-R1
octadecan-1-ol,0.08589,C1-S34-B1.2-R1
tetradecan-1-ol,0.00815,C1-S34-B1.2-R1
dodecan-1-ol,0,C1-S34-B1.2-R2
hexadecan-1-ol,0.02959,C1-S34-B1.2-R2
octadecan-1-ol,0.0847,C1-S34-B1.2-R2
tetradecan-1-ol,0.00773,C1-S34-B1.2-R2
dodecan-1-ol,0,C1-S34-B1.2-R3
hexadecan-1-ol,0.02973,C1-S34-B1.2-R3
octadecan-1-ol,0.08625,C1-S34-B1.2-R3
tetradecan-1-ol,0.00804,C1-S34-B1.2-R3
dodecan-1-ol,0.01887,C1-S35-B1.2-R1
hexadecan-1-ol,0.02682,C1-S35-B1.2-R1
octadecan-1-ol,0.06127,C1-S35-B1.2-R1
tetradecan-1-ol,0.00426,C1-S35-B1.2-R1
dodecan-1-ol,0.01131,C1-S35-B1.2-R2
hexadecan-1-ol,0.02661,C1-S35-B1.2-R2
octadecan-1-ol,0,C1-S35-B1.2-R2
tetradecan-1-ol,0.00415,C1-S35-B1.2-R2
dodecan-1-ol,0.01617,C1-S35-B1.2-R3
hexadecan-1-ol,0,C1-S35-B1.2-R3
octadecan-1-ol,0.06096,C1-S35-B1.2-R3
tetradecan-1-ol,0.00322,C1-S35-B1.2-R3
dodecan-1-ol,0.01306,C1-S36-B1.2-R1
hexadecan-1-ol,0.02692,C1-S36-B1.2-R1
octadecan-1-ol,0.06164,C1-S36-B1.2-R1
tetradecan-1-ol,0.00491,C1-S36-B1.2-R1
dodecan-1-ol,0.01181,C1-S36-B1.2-R2
hexadecan-1-ol,0.02669,C1-S36-B1.2-R2
octadecan-1-ol,0.06118,C1-S36-B1.2-R2
tetradecan-1-ol,0.00465,C1-S36-B1.2-R2
dodecan-1-ol,0.01999,C1-S36-B1.2-R3
hexadecan-1-ol,0.0271,C1-S36-B1.2-R3
octadecan-1-ol,0.06142,C1-S36-B1.2-R3
tetradecan-1-ol,0.00525,C1-S36-B1.2-R3
dodecan-1-ol,0,C0-S9017-B1.2-R1
hexadecan-1-ol,0.68335,C0-S9017-B1.2-R1
octadecan-1-ol,0.34899,C0-S9017-B1.2-R1
tetradecan-1-ol,0.2939,C0-S9017-B1.2-R1
dodecan-1-ol,0,C0-S9017-B1.2-R2
hexadecan-1-ol,0.65045,C0-S9017-B1.2-R2
octadecan-1-ol,0.33935,C0-S9017-B1.2-R2
tetradecan-1-ol,0.29903,C0-S9017-B1.2-R2
