+----------------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3           |           P4           |           P5          |           P6          |
+----------------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1            |           1            |           1           |           1           |
|          Ralambondrainy          |  0.03361344537815126   |          0.0           |          0.0           |          0.0           |  0.05042016806722689  |          0.0          |
| Relative Linkage Disequilibrium  |   0.999993685284028    |          1.0           |          1.0           |          1.0           |   0.9998999699909974  |          1.0          |
|          Relative Risk           |   1.9853757867456496   |   3.3333333333333335   |   4.3061224489795915   |   1.7542372881355932   |   0.8285714285714285  |   2.1836734693877555  |
|        Rule Power Factor         |  0.24317946356624837   |  0.11764705882352941   |   0.1134453781512605   |  0.13025210084033614   |  0.06350540216086435  |  0.10084033613445378  |
|         Sebag-Schoenauer         |         8.125          |          inf           |          inf           |          inf           |   1.9166666666666667  |          inf          |
|              Yule Q              |   0.8180421084985401   |          1.0           |          1.0           |          1.0           |  -0.33333333333333337 |          1.0          |
|              Yule Y              |   0.5193396060843718   |          1.0           |          1.0           |          1.0           |  -0.17157287525380985 |          1.0          |
|         Weighted Support         |   0.3067226890756303   |  0.11764705882352941   |   0.1134453781512605   |  0.13025210084033614   |  0.14705882352941177  |  0.10084033613445378  |
|      Weighted Rule Support       |  0.27310924369747897   |  0.11764705882352941   |   0.1134453781512605   |  0.13025210084033614   |  0.09663865546218488  |  0.10084033613445378  |
|       Weighted Confidence        |   0.8904109589041095   |          1.0           |          1.0           |          1.0           |   0.6571428571428571  |          1.0          |
|          Weighted Lift           |   1.5245885483394104   |   2.6153846153846154   |   3.131578947368421    |   1.5973154362416109   |          0.85         |   1.9508196721311477  |
|     Statistical Significance     | 0.0014414639647589115  | 1.2652024005969085e-14 | 2.1577865910749937e-09 | 0.00011120961149409571 |  0.16872906826172274  |  0.017849319748437942 |
|           FleBiC Score           | 0.0075708766429161845  | 8.362518105578973e-14  | 1.7974640859084113e-08 | 0.0003137359555210315  |  0.08812547944076082  |  0.059547911404550645 |
+----------------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+
