+----------------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+----------------------+
|              Metric              |           P1           |           P2          |           P3          |           P4          |           P5           |           P6          |           P7          |           P8           |           P9          |          P10           |          P11          |          P12           |          P13          |         P14          |
+----------------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+----------------------+
|  Outcome selected for analysis   |           1            |           1           |           1           |           1           |           1            |           1           |           1           |           1            |           1           |           1            |           1           |           1            |           1           |          1           |
|         Information Gain         |  0.002778437092585834  |  0.050911611600091826 |  0.020794677104632415 |  0.03501415626316815  | 0.0057233705037307075  |  0.03728231263655662  |  0.030749245585687313 |  0.014161395425840675  |  0.017363599879666156 |  0.002505241083262502  |  0.01157984760575617  |  0.06654487854427397   |  0.03964555505858546  | 0.26054780759084273  |
|           Chi-squared            |  0.15098722415795585   |   3.4564777854821145  |   1.0920698924731183  |   1.588583509513742   |  0.24128787878787872   |   1.702753274525528   |   1.3780538302277434  |   0.6073359073359073   |    0.90031943862589   |   0.1229527338398305   |   0.5876828290923662  |   2.445880174527189    |   1.8233766233766233  |  8.647014361300077   |
|            Gini index            | 0.0005807200929153211  |  0.012488630250867994 | 0.0035789272761978796 |  0.005472189349112519 | 0.0009278106508875394  |  0.005798816568047344 |  0.004847337278106295 |  0.002291124260355104  | 0.0030292040465738357 | 0.00046382897499513964 | 0.0020671883947318836 |  0.00883723114492363   |  0.006134911242603486 | 0.02909364140133386  |
|      Difference in Support       |  0.015384615384615385  |   0.0854119425547997  |  0.041666666666666664 |  0.044926004228329805 |  0.016571969696969693  |  0.04677893611333868  |  0.04140786749482403  |  0.02654440154440154   |  0.03733766233766235  |  0.013030888030888026  |  0.029503105590062126 |  0.048878810783572695  |  0.04870129870129871  | 0.09523809523809523  |
|          Bigger Support          |  0.06153846153846154   |  0.12244897959183675  |         0.075         |  0.06818181818181818  |        0.046875        |  0.06976744186046512  |  0.06521739130434784  |  0.05357142857142857   |  0.07142857142857144  |  0.05357142857142857   |  0.06521739130434784  |  0.06122448979591837   |  0.07142857142857144  | 0.09523809523809523  |
|            Confidence            |   0.5714285714285714   |   0.3333333333333333  |          0.5          |          0.4          |          0.6           |          0.4          |          0.4          |          0.6           |          0.5          |          0.5           |          0.5          |          0.75          |          0.4          |         1.0          |
|          All-Confidence          |  0.06153846153846154   |  0.03703703703703704  |  0.03333333333333333  |  0.023255813953488375 |        0.046875        |  0.02298850574712644  |  0.023809523809523808 |  0.05357142857142857   |  0.03409090909090909  |  0.05357142857142857   |  0.03571428571428571  |  0.06122448979591837   |  0.022727272727272728 | 0.09523809523809523  |
|               Lift               |   1.1428571428571428   |   0.5349794238683128  |   0.7222222222222223  |   0.6046511627906976  |   1.2187499999999998   |   0.5977011494252874  |   0.6190476190476191  |   1.3928571428571428   |   0.7386363636363635  |   1.1607142857142858   |   0.7738095238095237  |   1.989795918367347    |   0.5909090909090909  |  3.0952380952380953  |
|        Standardised Lift         |  0.49999999999999994   |          0.25         |   0.4000000000000001  |          0.25         |   0.4999999999999999   |          0.25         |  0.25000000000000006  |   0.5000000000000001   |  0.39999999999999986  |  0.40000000000000013   |          0.4          |   0.6666666666666667   |          0.25         |  1.0000000000000002  |
|       Collective Strength        |   1.0696685428392747   |   0.9606165701362183  |   0.9877712609970675  |   0.978617200674536   |   1.055169194865811    |   0.9755593803786573  |   0.9843760129659643  |   1.0623714585519413   |   0.9946517748684034  |   1.0583066550910225   |   1.0068434070502164  |   1.0690404470446773   |   0.9723725834797892  |  1.094809399713451   |
|              Cosine              |  0.18752289237539818   |   0.1111111111111111  |  0.12909944487358058  |  0.09644856443408242  |  0.16770509831248423   |  0.09589266029707683  |  0.09759000729485331  |  0.17928429140015903   |  0.13055824196677338  |   0.1636634176769943   |   0.1336306209562122  |  0.21428571428571427   |  0.09534625892455922  |  0.3086066999241838  |
|         Interestingness          |  0.03515651212692633   |  0.012343487471692602 |  0.01666370808678501  |  0.00930122471446264  |  0.028120007396449702  |  0.009194314085560772 |  0.00952268244575937  |  0.03213715131022823   |  0.01704242872512103  |  0.026780959425190192  |  0.017853972950126796 |  0.04591021615746891   |  0.009089833243679398 | 0.09521555367709214  |
