+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4           |           P5          |           P6           |           P7           |           P8           |           P9          |          P10          |          P11           |          P12           |          P13           |          P14           |          P15           |          P16          |          P17          |          P18          |         P19          |         P20          |         P21          |          P22           |          P23          |          P24          |
+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1           |           1            |           1           |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1            |           1            |           1           |           1           |           1           |          1           |          1           |          1           |           1            |           1           |           1           |
|        Standardised Lift         |   0.870967741935484    |   0.9032258064516129   |          1.0          |          1.0           |   0.7272727272727272  |          1.0           |          1.0           |          1.0           |   0.9999999999999998  |   0.8888888888888886  |          1.0           |          1.0           |   0.7499999999999999   |   0.6666666666666667   |   1.0000000000000002   |   0.7999999999999998  |          1.0          |          1.0          |         1.0          |         1.0          |         1.0          |  0.49999999999999994   |          1.0          |          1.0          |
|       Collective Strength        |   1.3197903956891048   |   1.4062629554285053   |   1.3267425851320318  |   1.1563984471076174   |   1.0416429274356451  |   1.2011269913306784   |   1.1727606364052257   |   1.2251791197543496   |   1.142956962880461   |   1.116573602606584   |   1.1176370584014186   |   1.1179547727054462   |   1.0196968275415756   |   1.0128975076025002   |   1.157867147550226    |   1.0982012505352448  |   1.1308617193667292  |   1.1177464215409523  |  1.0509644259644262  |  1.0381142953781723  |  1.0381645673354174  |   0.9970069771455335   |   1.0375812801344717  |   1.038269423467791   |
|              Cosine              |   0.419832100732847    |   0.5560496169143435   |   0.5163977794943222  |   0.3517262290563295   |   0.259217429756041   |   0.4767312946227962   |  0.44048819592160315   |   0.4230217115244235   |   0.3367522262074449  |  0.30689745276171304  |  0.36650833306891567   |   0.3939192985791677   |   0.1675235703441389   |   0.1840186845246444   |   0.3872983346207417   |   0.2309971510527054  |  0.36514837167011077  |         0.375         | 0.20203050891044216  | 0.17407765595569782  | 0.18257418583505539  |   0.0839921051131616   |  0.13957263155977065  |  0.21160368475757946  |
|         Interestingness          |  0.17617186527594533   |   0.3090328800205203   |   0.2665536802956477  |  0.12368513202734095   |  0.06717350972009357  |  0.22721254277111913   |  0.19398532020358625   |  0.17889366272824916   |  0.11338003970539096  |  0.09417108156532104  |  0.13430701516778792   |  0.15514775890072052   |  0.028060678486069985  |  0.03385749588050841   |   0.1499682225831509   |  0.05335120562989202  |  0.13330979450603772  |  0.14060265650377798  | 0.040813444225229104 | 0.03030142538298742  | 0.03333156792128616  |  0.007054424633220857  |  0.019479487746206198 |  0.04477374795396649  |
|        Comprehensibility         |          0.5           |          0.5           |          0.5          |   0.3868528072345416   |          0.5          |  0.43067655807339306   |  0.43067655807339306   |          0.5           |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306   |  0.43067655807339306   |          0.5           |          0.5           |          0.5          |          0.5          |          0.5          | 0.43067655807339306  |  0.3868528072345416  | 0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |
|           Completeness           |   0.2014388489208633   |   0.3411764705882353   |  0.26666666666666666  |  0.12371134020618557   |  0.09090909090909091  |  0.22727272727272727   |  0.19402985074626866   |   0.1789473684210526   |  0.11340206185567012  |  0.10465116279069767  |  0.13432835820895522   |  0.15517241379310345   |  0.03608247422680412   |  0.048913043478260865  |          0.15          |  0.06521739130434781  |  0.13333333333333336  |        0.140625       | 0.04081632653061224  | 0.030303030303030304 | 0.03333333333333333  |  0.010582010582010581  |  0.01948051948051948  |  0.04477611940298508  |
|           Added Value            |   0.2909663865546218   |   0.5491071428571428   |   0.6218487394957983  |   0.592436974789916    |  -0.04658385093167705 |   0.7226890756302521   |   0.7184873949579832   |   0.6008403361344538   |   0.592436974789916   |   0.5386554621848738  |   0.7184873949579832   |   0.7563025210084033   |  -0.03734827264239027  |  -0.08080155138978673  |   0.6638655462184874   |  0.23834988540870883  |   0.6848739495798319  |    0.73109243697479   |  0.5882352941176471  |  0.5840336134453781  |  0.6218487394957983  |  -0.12745098039215685  |   0.3529411764705882  |   0.7184873949579832  |
|        Casual Confidence         |   0.5054611650485437   |   0.5235133495145631   |   0.5560747663551402  |   0.5265486725663717   |  0.40910010111223455  |   0.5336322869955157   |   0.5288888888888889   |   0.5384615384615384   |   0.5242290748898678  |   0.4697368421052631  |   0.519650655021834    |   0.519650655021834    |   0.4041727316836487   |  0.36615384615384616   |   0.5265486725663717   |  0.42891469763716455  |   0.5219298245614035  |   0.519650655021834   |  0.5085470085470085  |  0.5063829787234042  |  0.5063829787234042  |   0.3375886524822695   |   0.5063829787234042  |   0.5063829787234042  |
|          Casual Support          |   0.5168067226890757   |   0.7521008403361344   |   0.7226890756302521  |   0.6428571428571429   |  0.26050420168067223  |   0.7857142857142857   |   0.773109243697479    |   0.6722689075630252   |   0.6386554621848739  |   0.6722689075630252  |   0.7563025210084033   |   0.7941176470588235   |   0.2058823529411765   |  0.24789915966386555   |   0.7142857142857143   |  0.44957983193277307  |   0.726890756302521   |    0.76890756302521   |  0.6050420168067228  |  0.5966386554621849  |  0.634453781512605   |  0.21008403361344538   |   0.365546218487395   |   0.7310924369747899  |
|         Certainty Factor         |   0.6994949494949495   |   0.8541666666666666   |          1.0          |          1.0           |  -0.21739130434782622 |          1.0           |          1.0           |          1.0           |          1.0          |   0.8434210526315788  |          1.0           |          1.0           |  -0.2020202020202019   |  -0.3561253561253564   |          1.0           |   0.567272727272727   |          1.0          |          1.0          |         1.0          |         1.0          |         1.0          |  -0.6190476190476188   |          1.0          |          1.0          |
|            Conviction            |   3.3277310924369745   |   6.857142857142857    |          inf          |          inf           |   0.8214285714285715  |          inf           |          inf           |          inf           |          inf          |    6.38655462184874   |          inf           |          inf           |   0.8319327731092437   |   0.7373949579831932   |          inf           |   2.310924369747899   |          inf          |          inf          |         inf          |         inf          |         inf          |   0.6176470588235297   |          inf          |          inf          |
|        Coverage (Support)        |  0.13445378151260504   |  0.13445378151260504   |  0.10084033613445378  |  0.05042016806722689   |  0.09663865546218488  |  0.06302521008403361   |   0.0546218487394958   |  0.07142857142857142   |  0.046218487394957986 |  0.04201680672268908  |  0.037815126050420166  |  0.037815126050420166  |  0.037815126050420166  |   0.0546218487394958   |  0.05042016806722689   |  0.046218487394957986 |  0.04201680672268908  |  0.037815126050420166 | 0.01680672268907563  | 0.012605042016806723 | 0.012605042016806723 |  0.012605042016806723  |  0.012605042016806723 |  0.012605042016806723 |
