+----------------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3           |           P4          |           P5          |          P6          |           P7          |
+----------------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1            |           1           |           1           |          1           |           1           |
|     Goodman-Kruskal's Lambda     |  0.24378109452736324   |   0.4666666666666667   |   0.5700483091787439   |   0.7488372093023257  |   0.610576923076923   |  0.6475770925110131  |   0.7844827586206896  |
|       Least Contradiction        |   0.3953488372093023   |   0.291044776119403    |   0.2080536912751678   |  0.059782608695652176 |  0.17197452229299362  | 0.06329113924050633  |  0.026595744680851068 |
|        Lerman Similarity         |   5.930386090890176    |   3.214883821053733    |   2.6314143627904776   |  -0.7802714459800286  |   1.7641648360670834  |  1.0748046892448377  |  0.20012511730970403  |
|        Piatetsky-Shapiro         |  0.09473201045123932   |  0.06948661817668243   |  0.04870771838147024   |  -0.01705388037567969 |  0.034584422004095755 | 0.012746274980580473 | 0.0019772614928324286 |
|          Max Confidence          |   0.9249999999999999   |   0.9148936170212766   |          1.0           |   0.6571428571428571  |   0.9090909090909091  |  0.9166666666666667  |   0.8571428571428572  |
|            Odds Ratio            |   37.503401360544224   |   11.813186813186816   |          inf           |          0.5          |   6.141732283464568   |  5.911564625850341   |   1.6153846153846156  |
|   Phi Correlation Coefficient    |   0.527371987942718    |  0.35190092493596925   |  0.29908700464139526   |  0.11497126077675979  |  0.21120694749217392  | 0.12331582648729895  |  0.028727582856261653 |
|          Ralambondrainy          |  0.012605042016806723  |  0.01680672268907563   |          0.0           |  0.05042016806722689  |  0.012605042016806723 | 0.004201680672268907 |  0.004201680672268907 |
| Relative Linkage Disequilibrium  |   0.9999976509481165   |   0.9999957300175496   |          1.0           |   0.9998999699909974  |   0.9999935656146447  |  0.9999941805315502  |   0.9999624864013205  |
|          Relative Risk           |   3.7377551020408157   |   1.9202712181435588   |   1.7542372881355932   |   0.8285714285714285  |   1.467430207587688   |  1.4092970521541952  |   1.087912087912088   |
|        Rule Power Factor         |  0.14380252100840335   |  0.16529590559628107   |  0.13025210084033614   |  0.06350540216086435  |  0.11459129106187929  | 0.04236694677871149  |  0.021608643457382955 |
|         Sebag-Schoenauer         |   12.333333333333334   |         10.75          |          inf           |   1.9166666666666667  |          10.0         |  11.000000000000002  |          6.0          |
|              Yule Q              |   0.9480565371024735   |   0.8439108061749571   |          1.0           |  -0.33333333333333337 |   0.7199558985667033  |  0.7106299212598425  |  0.23529411764705888  |
|              Yule Y              |   0.7192589249436551   |   0.5492482043482354   |          1.0           |  -0.17157287525380985 |   0.4249985106647988  |  0.4171425830632887  |  0.11932208953542357  |
|         Weighted Support         |  0.16806722689075632   |  0.19747899159663865   |  0.13025210084033614   |  0.14705882352941177  |  0.13865546218487396  | 0.05042016806722689  |  0.029411764705882353 |
|      Weighted Rule Support       |  0.15546218487394958   |  0.18067226890756302   |  0.13025210084033614   |  0.09663865546218488  |  0.12605042016806722  | 0.046218487394957986 |  0.025210084033613446 |
|       Weighted Confidence        |   0.9249999999999999   |   0.9148936170212766   |          1.0           |   0.6571428571428571  |   0.9090909090909091  |  0.9166666666666667  |   0.8571428571428572  |
|          Weighted Lift           |   2.5598837209302325   |   1.6249603048586851   |   1.5973154362416109   |          0.85         |   1.3781123335263463  |  1.3808016877637133  |   1.0851063829787235  |
|     Statistical Significance     | 2.745281629131113e-25  | 2.2553321663092117e-05 | 0.00011120961149409571 |  0.16872906826172274  |  0.10642745292189335  | 0.08039256949653557  |  0.09719351225853416  |
|           FleBiC Score           | 2.3289291826265724e-24 |  8.68742922290813e-05  | 0.0003137359555210315  |  0.08812547944076082  |   0.1557857857316067  | 0.04863846591330774  |  0.017100537645942195 |
+----------------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+----------------------+-----------------------+
